START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,10:05 PM,10:05 PM,Indians at Athletics,O.co Coliseum,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/01/14,04/01/14,01:05 AM,01:05 AM,FALSE,TRUE,03/31/14,09:05 PM,09:05 PM,FREE,BUSY
04/01/14,10:05 PM,10:05 PM,Indians at Athletics,O.co Coliseum,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/02/14,04/02/14,01:05 AM,01:05 AM,FALSE,TRUE,04/01/14,09:05 PM,09:05 PM,FREE,BUSY
04/02/14,03:35 PM,03:35 PM,Indians at Athletics,O.co Coliseum,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/02/14,04/02/14,06:35 PM,06:35 PM,FALSE,TRUE,04/02/14,02:35 PM,02:35 PM,FREE,BUSY
04/04/14,03:05 PM,03:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/04/14,04/04/14,06:05 PM,06:05 PM,FALSE,TRUE,04/04/14,02:05 PM,02:05 PM,FREE,BUSY
04/05/14,01:05 PM,01:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/05/14,04/05/14,04:05 PM,04:05 PM,FALSE,TRUE,04/05/14,12:05 PM,12:05 PM,FREE,BUSY
04/06/14,01:05 PM,01:05 PM,Twins at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/06/14,04/06/14,04:05 PM,04:05 PM,FALSE,TRUE,04/06/14,12:05 PM,12:05 PM,FREE,BUSY
04/07/14,07:05 PM,07:05 PM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/07/14,04/07/14,10:05 PM,10:05 PM,FALSE,TRUE,04/07/14,06:05 PM,06:05 PM,FREE,BUSY
04/08/14,07:05 PM,07:05 PM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/08/14,04/08/14,10:05 PM,10:05 PM,FALSE,TRUE,04/08/14,06:05 PM,06:05 PM,FREE,BUSY
04/09/14,12:05 PM,12:05 PM,Padres at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/09/14,04/09/14,03:05 PM,03:05 PM,FALSE,TRUE,04/09/14,11:05 AM,11:05 AM,FREE,BUSY
04/10/14,08:10 PM,08:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/10/14,04/10/14,11:10 PM,11:10 PM,FALSE,TRUE,04/10/14,07:10 PM,07:10 PM,FREE,BUSY
04/11/14,08:10 PM,08:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/11/14,04/11/14,11:10 PM,11:10 PM,FALSE,TRUE,04/11/14,07:10 PM,07:10 PM,FREE,BUSY
04/12/14,02:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/12/14,04/12/14,05:10 PM,05:10 PM,FALSE,TRUE,04/12/14,01:10 PM,01:10 PM,FREE,BUSY
04/13/14,02:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/13/14,04/13/14,05:10 PM,05:10 PM,FALSE,TRUE,04/13/14,01:10 PM,01:10 PM,FREE,BUSY
04/15/14,07:08 PM,07:08 PM,Indians at Tigers,Comerica Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/15/14,04/15/14,10:08 PM,10:08 PM,FALSE,TRUE,04/15/14,06:08 PM,06:08 PM,FREE,BUSY
04/16/14,07:08 PM,07:08 PM,Indians at Tigers,Comerica Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7",04/16/14,04/16/14,10:08 PM,10:08 PM,FALSE,TRUE,04/16/14,06:08 PM,06:08 PM,FREE,BUSY
04/17/14,01:08 PM,01:08 PM,Indians at Tigers,Comerica Park,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/17/14,04/17/14,04:08 PM,04:08 PM,FALSE,TRUE,04/17/14,12:08 PM,12:08 PM,FREE,BUSY
04/18/14,07:05 PM,07:05 PM,Blue Jays at Indians,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/18/14,04/18/14,10:05 PM,10:05 PM,FALSE,TRUE,04/18/14,06:05 PM,06:05 PM,FREE,BUSY
