START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/01/14,03:33 AM,03:33 AM,Yankees at Astros,Minute Maid Park,,04/01/14,04/01/14,06:33 AM,06:33 AM,FALSE,TRUE,04/01/14,02:33 AM,02:33 AM,FREE,BUSY
04/02/14,03:33 AM,03:33 AM,Yankees at Astros,Minute Maid Park,,04/02/14,04/02/14,06:33 AM,06:33 AM,FALSE,TRUE,04/02/14,02:33 AM,02:33 AM,FREE,BUSY
04/03/14,03:33 AM,03:33 AM,Yankees at Astros,Minute Maid Park,,04/03/14,04/03/14,06:33 AM,06:33 AM,FALSE,TRUE,04/03/14,02:33 AM,02:33 AM,FREE,BUSY
04/04/14,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/04/14,04/04/14,06:33 AM,06:33 AM,FALSE,TRUE,04/04/14,02:33 AM,02:33 AM,FREE,BUSY
04/05/14,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/05/14,04/05/14,06:33 AM,06:33 AM,FALSE,TRUE,04/05/14,02:33 AM,02:33 AM,FREE,BUSY
04/06/14,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/06/14,04/06/14,06:33 AM,06:33 AM,FALSE,TRUE,04/06/14,02:33 AM,02:33 AM,FREE,BUSY
04/07/14,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/07/14,04/07/14,06:33 AM,06:33 AM,FALSE,TRUE,04/07/14,02:33 AM,02:33 AM,FREE,BUSY
04/08/14,06:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,,04/08/14,04/08/14,09:07 PM,10:07 PM,FALSE,TRUE,04/08/14,05:07 PM,06:07 PM,FREE,BUSY
04/09/14,06:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,,04/09/14,04/09/14,09:07 PM,10:07 PM,FALSE,TRUE,04/09/14,05:07 PM,06:07 PM,FREE,BUSY
04/10/14,06:07 PM,07:07 PM,Astros at Blue Jays,Rogers Centre,,04/10/14,04/10/14,09:07 PM,10:07 PM,FALSE,TRUE,04/10/14,05:07 PM,06:07 PM,FREE,BUSY
04/11/14,03:33 AM,03:33 AM,Astros at Rangers,Rangers Ballpark in Arlington,,04/11/14,04/11/14,06:33 AM,06:33 AM,FALSE,TRUE,04/11/14,02:33 AM,02:33 AM,FREE,BUSY
04/12/14,03:33 AM,03:33 AM,Astros at Rangers,Rangers Ballpark in Arlington,,04/12/14,04/12/14,06:33 AM,06:33 AM,FALSE,TRUE,04/12/14,02:33 AM,02:33 AM,FREE,BUSY
04/13/14,03:33 AM,03:33 AM,Astros at Rangers,Rangers Ballpark in Arlington,,04/13/14,04/13/14,06:33 AM,06:33 AM,FALSE,TRUE,04/13/14,02:33 AM,02:33 AM,FREE,BUSY
04/15/14,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/15/14,04/15/14,06:33 AM,06:33 AM,FALSE,TRUE,04/15/14,02:33 AM,02:33 AM,FREE,BUSY
04/16/14,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/16/14,04/16/14,06:33 AM,06:33 AM,FALSE,TRUE,04/16/14,02:33 AM,02:33 AM,FREE,BUSY
04/17/14,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/17/14,04/17/14,06:33 AM,06:33 AM,FALSE,TRUE,04/17/14,02:33 AM,02:33 AM,FREE,BUSY
04/18/14,09:05 PM,10:05 PM,Astros at Athletics,O.co Coliseum,,04/19/14,04/19/14,12:05 AM,01:05 AM,FALSE,TRUE,04/18/14,08:05 PM,09:05 PM,FREE,BUSY
04/19/14,03:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,,04/19/14,04/19/14,06:05 PM,07:05 PM,FALSE,TRUE,04/19/14,02:05 PM,03:05 PM,FREE,BUSY
04/20/14,03:05 PM,04:05 PM,Astros at Athletics,O.co Coliseum,,04/20/14,04/20/14,06:05 PM,07:05 PM,FALSE,TRUE,04/20/14,02:05 PM,03:05 PM,FREE,BUSY
04/21/14,09:10 PM,10:10 PM,Astros at Mariners,Safeco Field,,04/22/14,04/22/14,12:10 AM,01:10 AM,FALSE,TRUE,04/21/14,08:10 PM,09:10 PM,FREE,BUSY
04/22/14,09:10 PM,10:10 PM,Astros at Mariners,Safeco Field,,04/23/14,04/23/14,12:10 AM,01:10 AM,FALSE,TRUE,04/22/14,08:10 PM,09:10 PM,FREE,BUSY
04/23/14,03:33 AM,03:33 AM,Astros at Mariners,Safeco Field,,04/23/14,04/23/14,06:33 AM,06:33 AM,FALSE,TRUE,04/23/14,02:33 AM,02:33 AM,FREE,BUSY
04/24/14,03:33 AM,03:33 AM,Athletics at Astros,Minute Maid Park,,04/24/14,04/24/14,06:33 AM,06:33 AM,FALSE,TRUE,04/24/14,02:33 AM,02:33 AM,FREE,BUSY
04/25/14,03:33 AM,03:33 AM,Athletics at Astros,Minute Maid Park,,04/25/14,04/25/14,06:33 AM,06:33 AM,FALSE,TRUE,04/25/14,02:33 AM,02:33 AM,FREE,BUSY
04/26/14,03:33 AM,03:33 AM,Athletics at Astros,Minute Maid Park,,04/26/14,04/26/14,06:33 AM,06:33 AM,FALSE,TRUE,04/26/14,02:33 AM,02:33 AM,FREE,BUSY
04/27/14,03:33 AM,03:33 AM,Athletics at Astros,Minute Maid Park,,04/27/14,04/27/14,06:33 AM,06:33 AM,FALSE,TRUE,04/27/14,02:33 AM,02:33 AM,FREE,BUSY
04/29/14,03:33 AM,03:33 AM,Nationals at Astros,Minute Maid Park,,04/29/14,04/29/14,06:33 AM,06:33 AM,FALSE,TRUE,04/29/14,02:33 AM,02:33 AM,FREE,BUSY
04/30/14,03:33 AM,03:33 AM,Nationals at Astros,Minute Maid Park,,04/30/14,04/30/14,06:33 AM,06:33 AM,FALSE,TRUE,04/30/14,02:33 AM,02:33 AM,FREE,BUSY
05/02/14,03:33 AM,03:33 AM,Mariners at Astros,Minute Maid Park,,05/02/14,05/02/14,06:33 AM,06:33 AM,FALSE,TRUE,05/02/14,02:33 AM,02:33 AM,FREE,BUSY
05/03/14,03:33 AM,03:33 AM,Mariners at Astros,Minute Maid Park,,05/03/14,05/03/14,06:33 AM,06:33 AM,FALSE,TRUE,05/03/14,02:33 AM,02:33 AM,FREE,BUSY
05/04/14,03:33 AM,03:33 AM,Mariners at Astros,Minute Maid Park,,05/04/14,05/04/14,06:33 AM,06:33 AM,FALSE,TRUE,05/04/14,02:33 AM,02:33 AM,FREE,BUSY
05/05/14,03:33 AM,03:33 AM,Astros at Tigers,Comerica Park,,05/05/14,05/05/14,06:33 AM,06:33 AM,FALSE,TRUE,05/05/14,02:33 AM,02:33 AM,FREE,BUSY
05/06/14,03:33 AM,03:33 AM,Astros at Tigers,Comerica Park,,05/06/14,05/06/14,06:33 AM,06:33 AM,FALSE,TRUE,05/06/14,02:33 AM,02:33 AM,FREE,BUSY
05/07/14,03:33 AM,03:33 AM,Astros at Tigers,Comerica Park,,05/07/14,05/07/14,06:33 AM,06:33 AM,FALSE,TRUE,05/07/14,02:33 AM,02:33 AM,FREE,BUSY
05/08/14,03:33 AM,03:33 AM,Astros at Tigers,Comerica Park,,05/08/14,05/08/14,06:33 AM,06:33 AM,FALSE,TRUE,05/08/14,02:33 AM,02:33 AM,FREE,BUSY
