START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
03/31/14,06:40 PM,09:40 PM,Giants at D-backs,Chase Field,,03/31/14,04/01/14,09:40 PM,12:40 AM,FALSE,TRUE,03/31/14,05:40 PM,08:40 PM,FREE,BUSY
04/01/14,06:40 PM,09:40 PM,Giants at D-backs,Chase Field,,04/01/14,04/02/14,09:40 PM,12:40 AM,FALSE,TRUE,04/01/14,05:40 PM,08:40 PM,FREE,BUSY
04/02/14,06:40 PM,09:40 PM,Giants at D-backs,Chase Field,,04/02/14,04/03/14,09:40 PM,12:40 AM,FALSE,TRUE,04/02/14,05:40 PM,08:40 PM,FREE,BUSY
04/03/14,12:40 PM,03:40 PM,Giants at D-backs,Chase Field,,04/03/14,04/03/14,03:40 PM,06:40 PM,FALSE,TRUE,04/03/14,11:40 AM,02:40 PM,FREE,BUSY
04/04/14,01:10 PM,04:10 PM,Giants at Dodgers,Dodger Stadium,,04/04/14,04/04/14,04:10 PM,07:10 PM,FALSE,TRUE,04/04/14,12:10 PM,03:10 PM,FREE,BUSY
04/05/14,06:10 PM,09:10 PM,Giants at Dodgers,Dodger Stadium,,04/05/14,04/06/14,09:10 PM,12:10 AM,FALSE,TRUE,04/05/14,05:10 PM,08:10 PM,FREE,BUSY
04/06/14,05:00 PM,08:00 PM,Giants at Dodgers,Dodger Stadium,,04/06/14,04/06/14,08:00 PM,11:00 PM,FALSE,TRUE,04/06/14,04:00 PM,07:00 PM,FREE,BUSY
04/08/14,01:35 PM,04:35 PM,D-backs at Giants,AT&T Park,,04/08/14,04/08/14,04:35 PM,07:35 PM,FALSE,TRUE,04/08/14,12:35 PM,03:35 PM,FREE,BUSY
04/09/14,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park,,04/09/14,04/10/14,10:15 PM,01:15 AM,FALSE,TRUE,04/09/14,06:15 PM,09:15 PM,FREE,BUSY
04/10/14,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park,,04/10/14,04/11/14,10:15 PM,01:15 AM,FALSE,TRUE,04/10/14,06:15 PM,09:15 PM,FREE,BUSY
04/11/14,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park,,04/11/14,04/12/14,10:15 PM,01:15 AM,FALSE,TRUE,04/11/14,06:15 PM,09:15 PM,FREE,BUSY
04/12/14,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,04/12/14,04/12/14,06:33 AM,06:33 AM,FALSE,TRUE,04/12/14,02:33 AM,02:33 AM,FREE,BUSY
04/13/14,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park,,04/13/14,04/13/14,04:05 PM,07:05 PM,FALSE,TRUE,04/13/14,12:05 PM,03:05 PM,FREE,BUSY
04/15/14,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,,04/15/14,04/16/14,10:15 PM,01:15 AM,FALSE,TRUE,04/15/14,06:15 PM,09:15 PM,FREE,BUSY
04/16/14,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park,,04/16/14,04/17/14,10:15 PM,01:15 AM,FALSE,TRUE,04/16/14,06:15 PM,09:15 PM,FREE,BUSY
04/17/14,12:45 PM,03:45 PM,Dodgers at Giants,AT&T Park,,04/17/14,04/17/14,03:45 PM,06:45 PM,FALSE,TRUE,04/17/14,11:45 AM,02:45 PM,FREE,BUSY
04/18/14,03:33 AM,03:33 AM,Giants at Padres,Petco Park,,04/18/14,04/18/14,06:33 AM,06:33 AM,FALSE,TRUE,04/18/14,02:33 AM,02:33 AM,FREE,BUSY
04/19/14,03:33 AM,03:33 AM,Giants at Padres,Petco Park,,04/19/14,04/19/14,06:33 AM,06:33 AM,FALSE,TRUE,04/19/14,02:33 AM,02:33 AM,FREE,BUSY
04/20/14,03:33 AM,03:33 AM,Giants at Padres,Petco Park,,04/20/14,04/20/14,06:33 AM,06:33 AM,FALSE,TRUE,04/20/14,02:33 AM,02:33 AM,FREE,BUSY
04/21/14,05:40 PM,08:40 PM,Giants at Rockies,Coors Field,,04/21/14,04/21/14,08:40 PM,11:40 PM,FALSE,TRUE,04/21/14,04:40 PM,07:40 PM,FREE,BUSY
04/22/14,05:40 PM,08:40 PM,Giants at Rockies,Coors Field,,04/22/14,04/22/14,08:40 PM,11:40 PM,FALSE,TRUE,04/22/14,04:40 PM,07:40 PM,FREE,BUSY
04/23/14,12:10 PM,03:10 PM,Giants at Rockies,Coors Field,,04/23/14,04/23/14,03:10 PM,06:10 PM,FALSE,TRUE,04/23/14,11:10 AM,02:10 PM,FREE,BUSY
04/25/14,07:15 PM,10:15 PM,Indians at Giants,AT&T Park,,04/25/14,04/26/14,10:15 PM,01:15 AM,FALSE,TRUE,04/25/14,06:15 PM,09:15 PM,FREE,BUSY
04/26/14,03:33 AM,03:33 AM,Indians at Giants,AT&T Park,,04/26/14,04/26/14,06:33 AM,06:33 AM,FALSE,TRUE,04/26/14,02:33 AM,02:33 AM,FREE,BUSY
04/27/14,01:05 PM,04:05 PM,Indians at Giants,AT&T Park,,04/27/14,04/27/14,04:05 PM,07:05 PM,FALSE,TRUE,04/27/14,12:05 PM,03:05 PM,FREE,BUSY
04/28/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,,04/28/14,04/29/14,10:15 PM,01:15 AM,FALSE,TRUE,04/28/14,06:15 PM,09:15 PM,FREE,BUSY
04/29/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,,04/29/14,04/30/14,10:15 PM,01:15 AM,FALSE,TRUE,04/29/14,06:15 PM,09:15 PM,FREE,BUSY
04/30/14,07:15 PM,10:15 PM,Padres at Giants,AT&T Park,,04/30/14,05/01/14,10:15 PM,01:15 AM,FALSE,TRUE,04/30/14,06:15 PM,09:15 PM,FREE,BUSY
05/02/14,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,05/02/14,05/02/14,06:33 AM,06:33 AM,FALSE,TRUE,05/02/14,02:33 AM,02:33 AM,FREE,BUSY
05/03/14,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,05/03/14,05/03/14,06:33 AM,06:33 AM,FALSE,TRUE,05/03/14,02:33 AM,02:33 AM,FREE,BUSY
05/04/14,03:33 AM,03:33 AM,Giants at Braves,Turner Field,,05/04/14,05/04/14,06:33 AM,06:33 AM,FALSE,TRUE,05/04/14,02:33 AM,02:33 AM,FREE,BUSY
05/05/14,04:05 PM,07:05 PM,Giants at Pirates,PNC Park,,05/05/14,05/05/14,07:05 PM,10:05 PM,FALSE,TRUE,05/05/14,03:05 PM,06:05 PM,FREE,BUSY
05/06/14,04:05 PM,07:05 PM,Giants at Pirates,PNC Park,,05/06/14,05/06/14,07:05 PM,10:05 PM,FALSE,TRUE,05/06/14,03:05 PM,06:05 PM,FREE,BUSY
05/07/14,09:35 AM,12:35 PM,Giants at Pirates,PNC Park,,05/07/14,05/07/14,12:35 PM,03:35 PM,FALSE,TRUE,05/07/14,08:35 AM,11:35 AM,FREE,BUSY
05/08/14,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,,05/08/14,05/09/14,10:10 PM,01:10 AM,FALSE,TRUE,05/08/14,06:10 PM,09:10 PM,FREE,BUSY
05/09/14,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium,,05/09/14,05/10/14,10:10 PM,01:10 AM,FALSE,TRUE,05/09/14,06:10 PM,09:10 PM,FREE,BUSY
05/10/14,06:10 PM,09:10 PM,Giants at Dodgers,Dodger Stadium,,05/10/14,05/11/14,09:10 PM,12:10 AM,FALSE,TRUE,05/10/14,05:10 PM,08:10 PM,FREE,BUSY
05/11/14,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,05/11/14,05/11/14,06:33 AM,06:33 AM,FALSE,TRUE,05/11/14,02:33 AM,02:33 AM,FREE,BUSY
05/12/14,07:15 PM,10:15 PM,Braves at Giants,AT&T Park,,05/12/14,05/13/14,10:15 PM,01:15 AM,FALSE,TRUE,05/12/14,06:15 PM,09:15 PM,FREE,BUSY
05/13/14,07:15 PM,10:15 PM,Braves at Giants,AT&T Park,,05/13/14,05/14/14,10:15 PM,01:15 AM,FALSE,TRUE,05/13/14,06:15 PM,09:15 PM,FREE,BUSY
05/14/14,12:45 PM,03:45 PM,Braves at Giants,AT&T Park,,05/14/14,05/14/14,03:45 PM,06:45 PM,FALSE,TRUE,05/14/14,11:45 AM,02:45 PM,FREE,BUSY
05/15/14,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park,,05/15/14,05/16/14,10:15 PM,01:15 AM,FALSE,TRUE,05/15/14,06:15 PM,09:15 PM,FREE,BUSY
05/16/14,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park,,05/16/14,05/17/14,10:15 PM,01:15 AM,FALSE,TRUE,05/16/14,06:15 PM,09:15 PM,FREE,BUSY
05/17/14,03:33 AM,03:33 AM,Marlins at Giants,AT&T Park,,05/17/14,05/17/14,06:33 AM,06:33 AM,FALSE,TRUE,05/17/14,02:33 AM,02:33 AM,FREE,BUSY
05/18/14,01:05 PM,04:05 PM,Marlins at Giants,AT&T Park,,05/18/14,05/18/14,04:05 PM,07:05 PM,FALSE,TRUE,05/18/14,12:05 PM,03:05 PM,FREE,BUSY
05/20/14,05:40 PM,08:40 PM,Giants at Rockies,Coors Field,,05/20/14,05/20/14,08:40 PM,11:40 PM,FALSE,TRUE,05/20/14,04:40 PM,07:40 PM,FREE,BUSY
05/21/14,05:40 PM,08:40 PM,Giants at Rockies,Coors Field,,05/21/14,05/21/14,08:40 PM,11:40 PM,FALSE,TRUE,05/21/14,04:40 PM,07:40 PM,FREE,BUSY
05/22/14,01:10 PM,04:10 PM,Giants at Rockies,Coors Field,,05/22/14,05/22/14,04:10 PM,07:10 PM,FALSE,TRUE,05/22/14,12:10 PM,03:10 PM,FREE,BUSY
05/23/14,07:15 PM,10:15 PM,Twins at Giants,AT&T Park,,05/23/14,05/24/14,10:15 PM,01:15 AM,FALSE,TRUE,05/23/14,06:15 PM,09:15 PM,FREE,BUSY
05/24/14,03:33 AM,03:33 AM,Twins at Giants,AT&T Park,,05/24/14,05/24/14,06:33 AM,06:33 AM,FALSE,TRUE,05/24/14,02:33 AM,02:33 AM,FREE,BUSY
