START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,01:10 PM,04:10 PM,Angels at Mariners,Safeco Field,,04/06/15,04/06/15,04:10 PM,07:10 PM,FALSE,TRUE,04/06/15,12:10 PM,03:10 PM,FREE,BUSY
04/07/15,07:10 PM,10:10 PM,Angels at Mariners,Safeco Field,,04/07/15,04/08/15,10:10 PM,01:10 AM,FALSE,TRUE,04/07/15,06:10 PM,09:10 PM,FREE,BUSY
04/08/15,07:10 PM,10:10 PM,Angels at Mariners,Safeco Field,,04/08/15,04/09/15,10:10 PM,01:10 AM,FALSE,TRUE,04/08/15,06:10 PM,09:10 PM,FREE,BUSY
04/10/15,03:33 AM,03:33 AM,Royals at Angels,Angel Stadium of Anaheim,,04/10/15,04/10/15,06:33 AM,06:33 AM,FALSE,TRUE,04/10/15,02:33 AM,02:33 AM,FREE,BUSY
04/11/15,03:33 AM,03:33 AM,Royals at Angels,Angel Stadium of Anaheim,,04/11/15,04/11/15,06:33 AM,06:33 AM,FALSE,TRUE,04/11/15,02:33 AM,02:33 AM,FREE,BUSY
04/12/15,03:33 AM,03:33 AM,Royals at Angels,Angel Stadium of Anaheim,,04/12/15,04/12/15,06:33 AM,06:33 AM,FALSE,TRUE,04/12/15,02:33 AM,02:33 AM,FREE,BUSY
04/13/15,03:33 AM,03:33 AM,Angels at Rangers,Globe Life Park in Arlington,,04/13/15,04/13/15,06:33 AM,06:33 AM,FALSE,TRUE,04/13/15,02:33 AM,02:33 AM,FREE,BUSY
04/14/15,03:33 AM,03:33 AM,Angels at Rangers,Globe Life Park in Arlington,,04/14/15,04/14/15,06:33 AM,06:33 AM,FALSE,TRUE,04/14/15,02:33 AM,02:33 AM,FREE,BUSY
04/15/15,03:33 AM,03:33 AM,Angels at Rangers,Globe Life Park in Arlington,,04/15/15,04/15/15,06:33 AM,06:33 AM,FALSE,TRUE,04/15/15,02:33 AM,02:33 AM,FREE,BUSY
04/17/15,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/17/15,04/17/15,06:33 AM,06:33 AM,FALSE,TRUE,04/17/15,02:33 AM,02:33 AM,FREE,BUSY
04/18/15,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/18/15,04/18/15,06:33 AM,06:33 AM,FALSE,TRUE,04/18/15,02:33 AM,02:33 AM,FREE,BUSY
04/19/15,03:33 AM,03:33 AM,Angels at Astros,Minute Maid Park,,04/19/15,04/19/15,06:33 AM,06:33 AM,FALSE,TRUE,04/19/15,02:33 AM,02:33 AM,FREE,BUSY
04/20/15,03:33 AM,03:33 AM,Athletics at Angels,Angel Stadium of Anaheim,,04/20/15,04/20/15,06:33 AM,06:33 AM,FALSE,TRUE,04/20/15,02:33 AM,02:33 AM,FREE,BUSY
04/21/15,03:33 AM,03:33 AM,Athletics at Angels,Angel Stadium of Anaheim,,04/21/15,04/21/15,06:33 AM,06:33 AM,FALSE,TRUE,04/21/15,02:33 AM,02:33 AM,FREE,BUSY
04/22/15,03:33 AM,03:33 AM,Athletics at Angels,Angel Stadium of Anaheim,,04/22/15,04/22/15,06:33 AM,06:33 AM,FALSE,TRUE,04/22/15,02:33 AM,02:33 AM,FREE,BUSY
04/23/15,03:33 AM,03:33 AM,Athletics at Angels,Angel Stadium of Anaheim,,04/23/15,04/23/15,06:33 AM,06:33 AM,FALSE,TRUE,04/23/15,02:33 AM,02:33 AM,FREE,BUSY
04/24/15,03:33 AM,03:33 AM,Rangers at Angels,Angel Stadium of Anaheim,,04/24/15,04/24/15,06:33 AM,06:33 AM,FALSE,TRUE,04/24/15,02:33 AM,02:33 AM,FREE,BUSY
04/25/15,03:33 AM,03:33 AM,Rangers at Angels,Angel Stadium of Anaheim,,04/25/15,04/25/15,06:33 AM,06:33 AM,FALSE,TRUE,04/25/15,02:33 AM,02:33 AM,FREE,BUSY
04/26/15,03:33 AM,03:33 AM,Rangers at Angels,Angel Stadium of Anaheim,,04/26/15,04/26/15,06:33 AM,06:33 AM,FALSE,TRUE,04/26/15,02:33 AM,02:33 AM,FREE,BUSY
04/28/15,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,,04/28/15,04/29/15,10:05 PM,01:05 AM,FALSE,TRUE,04/28/15,06:05 PM,09:05 PM,FREE,BUSY
04/29/15,07:05 PM,10:05 PM,Angels at Athletics,O.co Coliseum,,04/29/15,04/30/15,10:05 PM,01:05 AM,FALSE,TRUE,04/29/15,06:05 PM,09:05 PM,FREE,BUSY
04/30/15,12:35 PM,03:35 PM,Angels at Athletics,O.co Coliseum,,04/30/15,04/30/15,03:35 PM,06:35 PM,FALSE,TRUE,04/30/15,11:35 AM,02:35 PM,FREE,BUSY
05/01/15,07:15 PM,10:15 PM,Angels at Giants,AT&T Park,,05/01/15,05/02/15,10:15 PM,01:15 AM,FALSE,TRUE,05/01/15,06:15 PM,09:15 PM,FREE,BUSY
05/02/15,03:33 AM,03:33 AM,Angels at Giants,AT&T Park,,05/02/15,05/02/15,06:33 AM,06:33 AM,FALSE,TRUE,05/02/15,02:33 AM,02:33 AM,FREE,BUSY
05/03/15,01:05 PM,04:05 PM,Angels at Giants,AT&T Park,,05/03/15,05/03/15,04:05 PM,07:05 PM,FALSE,TRUE,05/03/15,12:05 PM,03:05 PM,FREE,BUSY
05/04/15,03:33 AM,03:33 AM,Mariners at Angels,Angel Stadium of Anaheim,,05/04/15,05/04/15,06:33 AM,06:33 AM,FALSE,TRUE,05/04/15,02:33 AM,02:33 AM,FREE,BUSY
05/05/15,03:33 AM,03:33 AM,Mariners at Angels,Angel Stadium of Anaheim,,05/05/15,05/05/15,06:33 AM,06:33 AM,FALSE,TRUE,05/05/15,02:33 AM,02:33 AM,FREE,BUSY
05/06/15,03:33 AM,03:33 AM,Mariners at Angels,Angel Stadium of Anaheim,,05/06/15,05/06/15,06:33 AM,06:33 AM,FALSE,TRUE,05/06/15,02:33 AM,02:33 AM,FREE,BUSY
05/07/15,03:33 AM,03:33 AM,Astros at Angels,Angel Stadium of Anaheim,,05/07/15,05/07/15,06:33 AM,06:33 AM,FALSE,TRUE,05/07/15,02:33 AM,02:33 AM,FREE,BUSY
05/08/15,03:33 AM,03:33 AM,Astros at Angels,Angel Stadium of Anaheim,,05/08/15,05/08/15,06:33 AM,06:33 AM,FALSE,TRUE,05/08/15,02:33 AM,02:33 AM,FREE,BUSY
05/09/15,03:33 AM,03:33 AM,Astros at Angels,Angel Stadium of Anaheim,,05/09/15,05/09/15,06:33 AM,06:33 AM,FALSE,TRUE,05/09/15,02:33 AM,02:33 AM,FREE,BUSY
05/10/15,03:33 AM,03:33 AM,Astros at Angels,Angel Stadium of Anaheim,,05/10/15,05/10/15,06:33 AM,06:33 AM,FALSE,TRUE,05/10/15,02:33 AM,02:33 AM,FREE,BUSY
05/12/15,03:33 AM,03:33 AM,Rockies at Angels,Angel Stadium of Anaheim,,05/12/15,05/12/15,06:33 AM,06:33 AM,FALSE,TRUE,05/12/15,02:33 AM,02:33 AM,FREE,BUSY
05/13/15,03:33 AM,03:33 AM,Rockies at Angels,Angel Stadium of Anaheim,,05/13/15,05/13/15,06:33 AM,06:33 AM,FALSE,TRUE,05/13/15,02:33 AM,02:33 AM,FREE,BUSY
05/15/15,04:05 PM,07:05 PM,Angels at Orioles,Oriole Park at Camden Yards,,05/15/15,05/15/15,07:05 PM,10:05 PM,FALSE,TRUE,05/15/15,03:05 PM,06:05 PM,FREE,BUSY
05/16/15,04:05 PM,07:05 PM,Angels at Orioles,Oriole Park at Camden Yards,,05/16/15,05/16/15,07:05 PM,10:05 PM,FALSE,TRUE,05/16/15,03:05 PM,06:05 PM,FREE,BUSY
05/17/15,10:35 AM,01:35 PM,Angels at Orioles,Oriole Park at Camden Yards,,05/17/15,05/17/15,01:35 PM,04:35 PM,FALSE,TRUE,05/17/15,09:35 AM,12:35 PM,FREE,BUSY
05/18/15,10:07 AM,01:07 PM,Angels at Blue Jays,Rogers Centre,,05/18/15,05/18/15,01:07 PM,04:07 PM,FALSE,TRUE,05/18/15,09:07 AM,12:07 PM,FREE,BUSY
05/19/15,04:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/19/15,05/19/15,07:07 PM,10:07 PM,FALSE,TRUE,05/19/15,03:07 PM,06:07 PM,FREE,BUSY
05/20/15,04:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/20/15,05/20/15,07:07 PM,10:07 PM,FALSE,TRUE,05/20/15,03:07 PM,06:07 PM,FREE,BUSY
05/21/15,04:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/21/15,05/21/15,07:07 PM,10:07 PM,FALSE,TRUE,05/21/15,03:07 PM,06:07 PM,FREE,BUSY
05/22/15,04:10 PM,07:10 PM,Angels at Red Sox,Fenway Park,,05/22/15,05/22/15,07:10 PM,10:10 PM,FALSE,TRUE,05/22/15,03:10 PM,06:10 PM,FREE,BUSY
05/23/15,04:15 PM,07:15 PM,Angels at Red Sox,Fenway Park,,05/23/15,05/23/15,07:15 PM,10:15 PM,FALSE,TRUE,05/23/15,03:15 PM,06:15 PM,FREE,BUSY
05/24/15,03:33 AM,03:33 AM,Angels at Red Sox,Fenway Park,,05/24/15,05/24/15,06:33 AM,06:33 AM,FALSE,TRUE,05/24/15,02:33 AM,02:33 AM,FREE,BUSY
05/25/15,03:33 AM,03:33 AM,Padres at Angels,Angel Stadium of Anaheim,,05/25/15,05/25/15,06:33 AM,06:33 AM,FALSE,TRUE,05/25/15,02:33 AM,02:33 AM,FREE,BUSY
05/26/15,03:33 AM,03:33 AM,Padres at Angels,Angel Stadium of Anaheim,,05/26/15,05/26/15,06:33 AM,06:33 AM,FALSE,TRUE,05/26/15,02:33 AM,02:33 AM,FREE,BUSY
05/27/15,03:33 AM,03:33 AM,Padres at Angels,Angel Stadium of Anaheim,,05/27/15,05/27/15,06:33 AM,06:33 AM,FALSE,TRUE,05/27/15,02:33 AM,02:33 AM,FREE,BUSY
05/28/15,03:33 AM,03:33 AM,Tigers at Angels,Angel Stadium of Anaheim,,05/28/15,05/28/15,06:33 AM,06:33 AM,FALSE,TRUE,05/28/15,02:33 AM,02:33 AM,FREE,BUSY
05/29/15,03:33 AM,03:33 AM,Tigers at Angels,Angel Stadium of Anaheim,,05/29/15,05/29/15,06:33 AM,06:33 AM,FALSE,TRUE,05/29/15,02:33 AM,02:33 AM,FREE,BUSY
05/30/15,03:33 AM,03:33 AM,Tigers at Angels,Angel Stadium of Anaheim,,05/30/15,05/30/15,06:33 AM,06:33 AM,FALSE,TRUE,05/30/15,02:33 AM,02:33 AM,FREE,BUSY
