START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,12:08 PM,01:08 PM,Twins at Tigers,Comerica Park,"Local Radio: BOB FM",04/06/15,04/06/15,03:08 PM,04:08 PM,FALSE,TRUE,04/06/15,11:08 AM,12:08 PM,FREE,BUSY
04/08/15,12:08 PM,01:08 PM,Twins at Tigers,Comerica Park,,04/08/15,04/08/15,03:08 PM,04:08 PM,FALSE,TRUE,04/08/15,11:08 AM,12:08 PM,FREE,BUSY
04/09/15,12:08 PM,01:08 PM,Twins at Tigers,Comerica Park,,04/09/15,04/09/15,03:08 PM,04:08 PM,FALSE,TRUE,04/09/15,11:08 AM,12:08 PM,FREE,BUSY
04/10/15,03:10 PM,04:10 PM,Twins at White Sox,U.S. Cellular Field,,04/10/15,04/10/15,06:10 PM,07:10 PM,FALSE,TRUE,04/10/15,02:10 PM,03:10 PM,FREE,BUSY
04/11/15,01:10 PM,02:10 PM,Twins at White Sox,U.S. Cellular Field,,04/11/15,04/11/15,04:10 PM,05:10 PM,FALSE,TRUE,04/11/15,12:10 PM,01:10 PM,FREE,BUSY
04/12/15,01:10 PM,02:10 PM,Twins at White Sox,U.S. Cellular Field,"Local Radio: BOB FM",04/12/15,04/12/15,04:10 PM,05:10 PM,FALSE,TRUE,04/12/15,12:10 PM,01:10 PM,FREE,BUSY
04/13/15,03:10 PM,04:10 PM,Royals at Twins,Target Field,"Local Radio: BOB FM",04/13/15,04/13/15,06:10 PM,07:10 PM,FALSE,TRUE,04/13/15,02:10 PM,03:10 PM,FREE,BUSY
04/15/15,07:10 PM,08:10 PM,Royals at Twins,Target Field,,04/15/15,04/15/15,10:10 PM,11:10 PM,FALSE,TRUE,04/15/15,06:10 PM,07:10 PM,FREE,BUSY
04/16/15,12:10 PM,01:10 PM,Royals at Twins,Target Field,,04/16/15,04/16/15,03:10 PM,04:10 PM,FALSE,TRUE,04/16/15,11:10 AM,12:10 PM,FREE,BUSY
04/17/15,07:10 PM,08:10 PM,Indians at Twins,Target Field,,04/17/15,04/17/15,10:10 PM,11:10 PM,FALSE,TRUE,04/17/15,06:10 PM,07:10 PM,FREE,BUSY
04/18/15,01:10 PM,02:10 PM,Indians at Twins,Target Field,,04/18/15,04/18/15,04:10 PM,05:10 PM,FALSE,TRUE,04/18/15,12:10 PM,01:10 PM,FREE,BUSY
04/19/15,01:10 PM,02:10 PM,Indians at Twins,Target Field,"Local Radio: BOB FM",04/19/15,04/19/15,04:10 PM,05:10 PM,FALSE,TRUE,04/19/15,12:10 PM,01:10 PM,FREE,BUSY
