START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium,"Local TV: ESPN -- WatchESPN ----- Local Radio: WADO 1280",04/06/15,04/06/15,04:05 PM,04:05 PM,FALSE,TRUE,04/06/15,12:05 PM,12:05 PM,FREE,BUSY
04/08/15,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium,"Local Radio: WADO 1280",04/08/15,04/08/15,10:05 PM,10:05 PM,FALSE,TRUE,04/08/15,06:05 PM,06:05 PM,FREE,BUSY
04/09/15,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium,"Local Radio: WADO 1280",04/09/15,04/09/15,10:05 PM,10:05 PM,FALSE,TRUE,04/09/15,06:05 PM,06:05 PM,FREE,BUSY
04/10/15,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium,"Local Radio: WADO 1280",04/10/15,04/10/15,10:05 PM,10:05 PM,FALSE,TRUE,04/10/15,06:05 PM,06:05 PM,FREE,BUSY
04/11/15,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium,"Local Radio: WADO 1280",04/11/15,04/11/15,04:05 PM,04:05 PM,FALSE,TRUE,04/11/15,12:05 PM,12:05 PM,FREE,BUSY
04/12/15,08:05 PM,08:05 PM,Red Sox at Yankees,Yankee Stadium,"Local TV: WatchESPN -- ESPN -- ESPN Deportes ----- Local Radio: ESPN Deportes -- WADO 1280 -- ESPN Radio",04/12/15,04/12/15,11:05 PM,11:05 PM,FALSE,TRUE,04/12/15,07:05 PM,07:05 PM,FREE,BUSY
04/13/15,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards,"Local Radio: WADO 1280",04/13/15,04/13/15,10:05 PM,10:05 PM,FALSE,TRUE,04/13/15,06:05 PM,06:05 PM,FREE,BUSY
04/14/15,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards,"Local Radio: WADO 1280",04/14/15,04/14/15,10:05 PM,10:05 PM,FALSE,TRUE,04/14/15,06:05 PM,06:05 PM,FREE,BUSY
04/15/15,07:05 PM,07:05 PM,Yankees at Orioles,Oriole Park at Camden Yards,"Local Radio: WADO 1280",04/15/15,04/15/15,10:05 PM,10:05 PM,FALSE,TRUE,04/15/15,06:05 PM,06:05 PM,FREE,BUSY
04/17/15,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field,"Local Radio: WADO 1280",04/17/15,04/17/15,10:10 PM,10:10 PM,FALSE,TRUE,04/17/15,06:10 PM,06:10 PM,FREE,BUSY
04/18/15,07:10 PM,07:10 PM,Yankees at Rays,Tropicana Field,"Local Radio: WADO 1280",04/18/15,04/18/15,10:10 PM,10:10 PM,FALSE,TRUE,04/18/15,06:10 PM,06:10 PM,FREE,BUSY
