START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,03:33 AM,03:33 AM,Pirates at Reds,Great American Ball Park,,04/06/15,04/06/15,06:33 AM,06:33 AM,FALSE,TRUE,04/06/15,02:33 AM,02:33 AM,FREE,BUSY
04/08/15,03:33 AM,03:33 AM,Pirates at Reds,Great American Ball Park,,04/08/15,04/08/15,06:33 AM,06:33 AM,FALSE,TRUE,04/08/15,02:33 AM,02:33 AM,FREE,BUSY
04/09/15,03:33 AM,03:33 AM,Pirates at Reds,Great American Ball Park,,04/09/15,04/09/15,06:33 AM,06:33 AM,FALSE,TRUE,04/09/15,02:33 AM,02:33 AM,FREE,BUSY
04/10/15,08:10 PM,08:10 PM,Pirates at Brewers,Miller Park,,04/10/15,04/10/15,11:10 PM,11:10 PM,FALSE,TRUE,04/10/15,07:10 PM,07:10 PM,FREE,BUSY
04/11/15,03:33 AM,03:33 AM,Pirates at Brewers,Miller Park,,04/11/15,04/11/15,06:33 AM,06:33 AM,FALSE,TRUE,04/11/15,02:33 AM,02:33 AM,FREE,BUSY
04/12/15,02:10 PM,02:10 PM,Pirates at Brewers,Miller Park,,04/12/15,04/12/15,05:10 PM,05:10 PM,FALSE,TRUE,04/12/15,01:10 PM,01:10 PM,FREE,BUSY
04/13/15,01:35 PM,01:35 PM,Tigers at Pirates,PNC Park,,04/13/15,04/13/15,04:35 PM,04:35 PM,FALSE,TRUE,04/13/15,12:35 PM,12:35 PM,FREE,BUSY
04/14/15,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,,04/14/15,04/14/15,10:05 PM,10:05 PM,FALSE,TRUE,04/14/15,06:05 PM,06:05 PM,FREE,BUSY
04/15/15,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park,,04/15/15,04/15/15,10:05 PM,10:05 PM,FALSE,TRUE,04/15/15,06:05 PM,06:05 PM,FREE,BUSY
04/17/15,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/17/15,04/17/15,10:05 PM,10:05 PM,FALSE,TRUE,04/17/15,06:05 PM,06:05 PM,FREE,BUSY
04/18/15,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,,04/18/15,04/18/15,10:05 PM,10:05 PM,FALSE,TRUE,04/18/15,06:05 PM,06:05 PM,FREE,BUSY
04/19/15,01:35 PM,01:35 PM,Brewers at Pirates,PNC Park,,04/19/15,04/19/15,04:35 PM,04:35 PM,FALSE,TRUE,04/19/15,12:35 PM,12:35 PM,FREE,BUSY
04/20/15,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,04/20/15,04/20/15,10:05 PM,10:05 PM,FALSE,TRUE,04/20/15,06:05 PM,06:05 PM,FREE,BUSY
04/21/15,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,04/21/15,04/21/15,10:05 PM,10:05 PM,FALSE,TRUE,04/21/15,06:05 PM,06:05 PM,FREE,BUSY
04/22/15,07:05 PM,07:05 PM,Cubs at Pirates,PNC Park,,04/22/15,04/22/15,10:05 PM,10:05 PM,FALSE,TRUE,04/22/15,06:05 PM,06:05 PM,FREE,BUSY
04/23/15,12:35 PM,12:35 PM,Cubs at Pirates,PNC Park,,04/23/15,04/23/15,03:35 PM,03:35 PM,FALSE,TRUE,04/23/15,11:35 AM,11:35 AM,FREE,BUSY
04/24/15,09:40 PM,09:40 PM,Pirates at D-backs,Chase Field,,04/25/15,04/25/15,12:40 AM,12:40 AM,FALSE,TRUE,04/24/15,08:40 PM,08:40 PM,FREE,BUSY
