START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/06/15,01:05 PM,01:05 PM,Blue Jays at Yankees,Yankee Stadium,,04/06/15,04/06/15,04:05 PM,04:05 PM,FALSE,TRUE,04/06/15,12:05 PM,12:05 PM,FREE,BUSY
04/08/15,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium,,04/08/15,04/08/15,10:05 PM,10:05 PM,FALSE,TRUE,04/08/15,06:05 PM,06:05 PM,FREE,BUSY
04/09/15,07:05 PM,07:05 PM,Blue Jays at Yankees,Yankee Stadium,,04/09/15,04/09/15,10:05 PM,10:05 PM,FALSE,TRUE,04/09/15,06:05 PM,06:05 PM,FREE,BUSY
04/10/15,03:05 PM,03:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,04/10/15,04/10/15,06:05 PM,06:05 PM,FALSE,TRUE,04/10/15,02:05 PM,02:05 PM,FREE,BUSY
04/11/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,04/11/15,04/11/15,10:05 PM,10:05 PM,FALSE,TRUE,04/11/15,06:05 PM,06:05 PM,FREE,BUSY
04/12/15,01:35 PM,01:35 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,04/12/15,04/12/15,04:35 PM,04:35 PM,FALSE,TRUE,04/12/15,12:35 PM,12:35 PM,FREE,BUSY
04/13/15,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,,04/13/15,04/13/15,10:07 PM,10:07 PM,FALSE,TRUE,04/13/15,06:07 PM,06:07 PM,FREE,BUSY
04/14/15,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,,04/14/15,04/14/15,10:07 PM,10:07 PM,FALSE,TRUE,04/14/15,06:07 PM,06:07 PM,FREE,BUSY
04/15/15,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,,04/15/15,04/15/15,10:07 PM,10:07 PM,FALSE,TRUE,04/15/15,06:07 PM,06:07 PM,FREE,BUSY
04/16/15,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre,,04/16/15,04/16/15,10:07 PM,10:07 PM,FALSE,TRUE,04/16/15,06:07 PM,06:07 PM,FREE,BUSY
04/17/15,07:07 PM,07:07 PM,Braves at Blue Jays,Rogers Centre,,04/17/15,04/17/15,10:07 PM,10:07 PM,FALSE,TRUE,04/17/15,06:07 PM,06:07 PM,FREE,BUSY
04/18/15,01:07 PM,01:07 PM,Braves at Blue Jays,Rogers Centre,,04/18/15,04/18/15,04:07 PM,04:07 PM,FALSE,TRUE,04/18/15,12:07 PM,12:07 PM,FREE,BUSY
04/19/15,01:07 PM,01:07 PM,Braves at Blue Jays,Rogers Centre,,04/19/15,04/19/15,04:07 PM,04:07 PM,FALSE,TRUE,04/19/15,12:07 PM,12:07 PM,FREE,BUSY
04/21/15,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,,04/21/15,04/21/15,10:07 PM,10:07 PM,FALSE,TRUE,04/21/15,06:07 PM,06:07 PM,FREE,BUSY
04/22/15,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,,04/22/15,04/22/15,10:07 PM,10:07 PM,FALSE,TRUE,04/22/15,06:07 PM,06:07 PM,FREE,BUSY
04/23/15,07:07 PM,07:07 PM,Orioles at Blue Jays,Rogers Centre,,04/23/15,04/23/15,10:07 PM,10:07 PM,FALSE,TRUE,04/23/15,06:07 PM,06:07 PM,FREE,BUSY
04/24/15,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field,,04/24/15,04/24/15,10:10 PM,10:10 PM,FALSE,TRUE,04/24/15,06:10 PM,06:10 PM,FREE,BUSY
04/25/15,03:33 AM,03:33 AM,Blue Jays at Rays,Tropicana Field,,04/25/15,04/25/15,06:33 AM,06:33 AM,FALSE,TRUE,04/25/15,02:33 AM,02:33 AM,FREE,BUSY
04/26/15,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field,,04/26/15,04/26/15,04:10 PM,04:10 PM,FALSE,TRUE,04/26/15,12:10 PM,12:10 PM,FREE,BUSY
04/27/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,,04/27/15,04/27/15,09:10 PM,09:10 PM,FALSE,TRUE,04/27/15,05:10 PM,05:10 PM,FREE,BUSY
04/28/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,,04/28/15,04/28/15,09:10 PM,09:10 PM,FALSE,TRUE,04/28/15,05:10 PM,05:10 PM,FREE,BUSY
04/29/15,06:10 PM,06:10 PM,Blue Jays at Red Sox,Fenway Park,,04/29/15,04/29/15,09:10 PM,09:10 PM,FALSE,TRUE,04/29/15,05:10 PM,05:10 PM,FREE,BUSY
04/30/15,03:33 AM,03:33 AM,Blue Jays at Indians,Progressive Field,,04/30/15,04/30/15,06:33 AM,06:33 AM,FALSE,TRUE,04/30/15,02:33 AM,02:33 AM,FREE,BUSY
05/01/15,03:33 AM,03:33 AM,Blue Jays at Indians,Progressive Field,,05/01/15,05/01/15,06:33 AM,06:33 AM,FALSE,TRUE,05/01/15,02:33 AM,02:33 AM,FREE,BUSY
05/02/15,03:33 AM,03:33 AM,Blue Jays at Indians,Progressive Field,,05/02/15,05/02/15,06:33 AM,06:33 AM,FALSE,TRUE,05/02/15,02:33 AM,02:33 AM,FREE,BUSY
05/03/15,03:33 AM,03:33 AM,Blue Jays at Indians,Progressive Field,,05/03/15,05/03/15,06:33 AM,06:33 AM,FALSE,TRUE,05/03/15,02:33 AM,02:33 AM,FREE,BUSY
05/04/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre,,05/04/15,05/04/15,10:07 PM,10:07 PM,FALSE,TRUE,05/04/15,06:07 PM,06:07 PM,FREE,BUSY
05/05/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre,,05/05/15,05/05/15,10:07 PM,10:07 PM,FALSE,TRUE,05/05/15,06:07 PM,06:07 PM,FREE,BUSY
05/06/15,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre,,05/06/15,05/06/15,10:07 PM,10:07 PM,FALSE,TRUE,05/06/15,06:07 PM,06:07 PM,FREE,BUSY
05/08/15,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre,,05/08/15,05/08/15,10:07 PM,10:07 PM,FALSE,TRUE,05/08/15,06:07 PM,06:07 PM,FREE,BUSY
05/09/15,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre,,05/09/15,05/09/15,04:07 PM,04:07 PM,FALSE,TRUE,05/09/15,12:07 PM,12:07 PM,FREE,BUSY
05/10/15,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre,,05/10/15,05/10/15,04:07 PM,04:07 PM,FALSE,TRUE,05/10/15,12:07 PM,12:07 PM,FREE,BUSY
05/11/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,05/11/15,05/11/15,10:05 PM,10:05 PM,FALSE,TRUE,05/11/15,06:05 PM,06:05 PM,FREE,BUSY
05/12/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,05/12/15,05/12/15,10:05 PM,10:05 PM,FALSE,TRUE,05/12/15,06:05 PM,06:05 PM,FREE,BUSY
05/13/15,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards,,05/13/15,05/13/15,10:05 PM,10:05 PM,FALSE,TRUE,05/13/15,06:05 PM,06:05 PM,FREE,BUSY
05/14/15,03:33 AM,03:33 AM,Blue Jays at Astros,Minute Maid Park,,05/14/15,05/14/15,06:33 AM,06:33 AM,FALSE,TRUE,05/14/15,02:33 AM,02:33 AM,FREE,BUSY
05/15/15,03:33 AM,03:33 AM,Blue Jays at Astros,Minute Maid Park,,05/15/15,05/15/15,06:33 AM,06:33 AM,FALSE,TRUE,05/15/15,02:33 AM,02:33 AM,FREE,BUSY
05/16/15,03:33 AM,03:33 AM,Blue Jays at Astros,Minute Maid Park,,05/16/15,05/16/15,06:33 AM,06:33 AM,FALSE,TRUE,05/16/15,02:33 AM,02:33 AM,FREE,BUSY
05/17/15,03:33 AM,03:33 AM,Blue Jays at Astros,Minute Maid Park,,05/17/15,05/17/15,06:33 AM,06:33 AM,FALSE,TRUE,05/17/15,02:33 AM,02:33 AM,FREE,BUSY
05/18/15,01:07 PM,01:07 PM,Angels at Blue Jays,Rogers Centre,,05/18/15,05/18/15,04:07 PM,04:07 PM,FALSE,TRUE,05/18/15,12:07 PM,12:07 PM,FREE,BUSY
05/19/15,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/19/15,05/19/15,10:07 PM,10:07 PM,FALSE,TRUE,05/19/15,06:07 PM,06:07 PM,FREE,BUSY
05/20/15,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/20/15,05/20/15,10:07 PM,10:07 PM,FALSE,TRUE,05/20/15,06:07 PM,06:07 PM,FREE,BUSY
05/21/15,07:07 PM,07:07 PM,Angels at Blue Jays,Rogers Centre,,05/21/15,05/21/15,10:07 PM,10:07 PM,FALSE,TRUE,05/21/15,06:07 PM,06:07 PM,FREE,BUSY
