START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/07/16,07:05 PM,10:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS1 ----- Local Radio: KLAA 830",04/07/16,04/08/16,10:05 PM,01:05 AM,FALSE,TRUE,04/07/16,06:05 PM,09:05 PM,FREE,BUSY
04/08/16,07:05 PM,10:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",04/08/16,04/09/16,10:05 PM,01:05 AM,FALSE,TRUE,04/08/16,06:05 PM,09:05 PM,FREE,BUSY
04/09/16,06:05 PM,09:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W- MLBN ----- Local Radio: KLAA 830",04/09/16,04/10/16,09:05 PM,12:05 AM,FALSE,TRUE,04/09/16,05:05 PM,08:05 PM,FREE,BUSY
04/10/16,12:35 PM,03:35 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS-W ----- Local Radio: KLAA 830",04/10/16,04/10/16,03:35 PM,06:35 PM,FALSE,TRUE,04/10/16,11:35 AM,02:35 PM,FREE,BUSY
04/11/16,07:05 PM,10:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",04/11/16,04/12/16,10:05 PM,01:05 AM,FALSE,TRUE,04/11/16,06:05 PM,09:05 PM,FREE,BUSY
04/12/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",04/12/16,04/12/16,01:30 PM,04:30 PM,FALSE,TRUE,04/12/16,09:30 AM,12:30 PM,FREE,BUSY
04/12/16,07:05 PM,10:05 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",04/12/16,04/13/16,10:05 PM,01:05 AM,FALSE,TRUE,04/12/16,06:05 PM,09:05 PM,FREE,BUSY
04/13/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",04/13/16,04/13/16,01:30 PM,04:30 PM,FALSE,TRUE,04/13/16,09:30 AM,12:30 PM,FREE,BUSY
04/13/16,12:35 PM,03:35 PM,Angels at Athletics,Oakland Coliseum - Oakland,"Local TV: FS-W ----- Local Radio: KLAA 830",04/13/16,04/13/16,03:35 PM,06:35 PM,FALSE,TRUE,04/13/16,11:35 AM,02:35 PM,FREE,BUSY
04/15/16,10:30 AM,01:30 PM,Angel Stadium Tour,Angel Stadium of Anaheim - Anaheim,"",04/15/16,04/15/16,01:30 PM,04:30 PM,FALSE,TRUE,04/15/16,09:30 AM,12:30 PM,FREE,BUSY
04/15/16,05:10 PM,08:10 PM,Angels at Twins,Target Field - Minneapolis,"Local TV: FS-W ----- Local Radio: KLAA 830",04/15/16,04/15/16,08:10 PM,11:10 PM,FALSE,TRUE,04/15/16,04:10 PM,07:10 PM,FREE,BUSY
04/16/16,11:10 AM,02:10 PM,Angels at Twins,Target Field - Minneapolis,"Local TV: FS-W ----- Local Radio: KLAA 830",04/16/16,04/16/16,02:10 PM,05:10 PM,FALSE,TRUE,04/16/16,10:10 AM,01:10 PM,FREE,BUSY
04/17/16,11:10 AM,02:10 PM,Angels at Twins,Target Field - Minneapolis,"Local TV: FS-W ----- Local Radio: KLAA 830",04/17/16,04/17/16,02:10 PM,05:10 PM,FALSE,TRUE,04/17/16,10:10 AM,01:10 PM,FREE,BUSY
04/18/16,05:10 PM,08:10 PM,Angels at White Sox,U.S. Cellular Field - Chicago,"Local TV: FS-W ----- Local Radio: KLAA 830",04/18/16,04/18/16,08:10 PM,11:10 PM,FALSE,TRUE,04/18/16,04:10 PM,07:10 PM,FREE,BUSY
