START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,12:40 PM,03:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/06/16,04/06/16,03:40 PM,06:40 PM,FALSE,TRUE,04/06/16,11:40 AM,02:40 PM,FREE,BUSY
04/07/16,06:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: KTAR 92.3 FM- KSUN La Mejor 1400 ",04/07/16,04/08/16,09:40 PM,12:40 AM,FALSE,TRUE,04/07/16,05:40 PM,08:40 PM,FREE,BUSY
04/08/16,06:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/08/16,04/09/16,09:40 PM,12:40 AM,FALSE,TRUE,04/08/16,05:40 PM,08:40 PM,FREE,BUSY
04/09/16,05:10 PM,08:10 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: FS-A+ ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/09/16,04/09/16,08:10 PM,11:10 PM,FALSE,TRUE,04/09/16,04:10 PM,07:10 PM,FREE,BUSY
04/10/16,01:10 PM,04:10 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/10/16,04/10/16,04:10 PM,07:10 PM,FALSE,TRUE,04/10/16,12:10 PM,03:10 PM,FREE,BUSY
04/12/16,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-A- MLBN ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/12/16,04/12/16,04:10 PM,07:10 PM,FALSE,TRUE,04/12/16,12:10 PM,03:10 PM,FREE,BUSY
04/13/16,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-A+ ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/13/16,04/14/16,10:10 PM,01:10 AM,FALSE,TRUE,04/13/16,06:10 PM,09:10 PM,FREE,BUSY
04/14/16,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/14/16,04/15/16,10:10 PM,01:10 AM,FALSE,TRUE,04/14/16,06:10 PM,09:10 PM,FREE,BUSY
04/15/16,07:40 PM,10:40 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/15/16,04/16/16,10:40 PM,01:40 AM,FALSE,TRUE,04/15/16,06:40 PM,09:40 PM,FREE,BUSY
04/16/16,05:40 PM,08:40 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/16/16,04/16/16,08:40 PM,11:40 PM,FALSE,TRUE,04/16/16,04:40 PM,07:40 PM,FREE,BUSY
04/17/16,01:40 PM,04:40 PM,D-backs at Padres,Petco Park - San Diego,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/17/16,04/17/16,04:40 PM,07:40 PM,FALSE,TRUE,04/17/16,12:40 PM,03:40 PM,FREE,BUSY
04/18/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/18/16,04/19/16,10:15 PM,01:15 AM,FALSE,TRUE,04/18/16,06:15 PM,09:15 PM,FREE,BUSY
04/19/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/19/16,04/20/16,10:15 PM,01:15 AM,FALSE,TRUE,04/19/16,06:15 PM,09:15 PM,FREE,BUSY
04/20/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/20/16,04/21/16,10:15 PM,01:15 AM,FALSE,TRUE,04/20/16,06:15 PM,09:15 PM,FREE,BUSY
04/21/16,12:45 PM,03:45 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/21/16,04/21/16,03:45 PM,06:45 PM,FALSE,TRUE,04/21/16,11:45 AM,02:45 PM,FREE,BUSY
04/22/16,06:40 PM,09:40 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/22/16,04/23/16,09:40 PM,12:40 AM,FALSE,TRUE,04/22/16,05:40 PM,08:40 PM,FREE,BUSY
04/23/16,05:10 PM,08:10 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/23/16,04/23/16,08:10 PM,11:10 PM,FALSE,TRUE,04/23/16,04:10 PM,07:10 PM,FREE,BUSY
04/24/16,01:10 PM,04:10 PM,Pirates at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/24/16,04/24/16,04:10 PM,07:10 PM,FALSE,TRUE,04/24/16,12:10 PM,03:10 PM,FREE,BUSY
04/25/16,06:40 PM,09:40 PM,Cardinals at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/25/16,04/26/16,09:40 PM,12:40 AM,FALSE,TRUE,04/25/16,05:40 PM,08:40 PM,FREE,BUSY
04/26/16,06:40 PM,09:40 PM,Cardinals at D-backs,Chase Field - Phoenix,"Local TV: FS-A- FS1 ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/26/16,04/27/16,09:40 PM,12:40 AM,FALSE,TRUE,04/26/16,05:40 PM,08:40 PM,FREE,BUSY
04/27/16,06:40 PM,09:40 PM,Cardinals at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/27/16,04/28/16,09:40 PM,12:40 AM,FALSE,TRUE,04/27/16,05:40 PM,08:40 PM,FREE,BUSY
04/28/16,06:40 PM,09:40 PM,Cardinals at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/28/16,04/29/16,09:40 PM,12:40 AM,FALSE,TRUE,04/28/16,05:40 PM,08:40 PM,FREE,BUSY
04/29/16,06:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/29/16,04/30/16,09:40 PM,12:40 AM,FALSE,TRUE,04/29/16,05:40 PM,08:40 PM,FREE,BUSY
04/30/16,05:10 PM,08:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",04/30/16,04/30/16,08:10 PM,11:10 PM,FALSE,TRUE,04/30/16,04:10 PM,07:10 PM,FREE,BUSY
05/01/16,01:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/01/16,05/01/16,04:10 PM,07:10 PM,FALSE,TRUE,05/01/16,12:10 PM,03:10 PM,FREE,BUSY
05/03/16,04:10 PM,07:10 PM,D-backs at Marlins,Marlins Park - Miami,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/03/16,05/03/16,07:10 PM,10:10 PM,FALSE,TRUE,05/03/16,03:10 PM,06:10 PM,FREE,BUSY
05/04/16,04:10 PM,07:10 PM,D-backs at Marlins,Marlins Park - Miami,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/04/16,05/04/16,07:10 PM,10:10 PM,FALSE,TRUE,05/04/16,03:10 PM,06:10 PM,FREE,BUSY
05/05/16,04:10 PM,07:10 PM,D-backs at Marlins,Marlins Park - Miami,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/05/16,05/05/16,07:10 PM,10:10 PM,FALSE,TRUE,05/05/16,03:10 PM,06:10 PM,FREE,BUSY
05/06/16,04:35 PM,07:35 PM,D-backs at Braves,Turner Field - Atlanta,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/06/16,05/06/16,07:35 PM,10:35 PM,FALSE,TRUE,05/06/16,03:35 PM,06:35 PM,FREE,BUSY
05/07/16,04:10 PM,07:10 PM,D-backs at Braves,Turner Field - Atlanta,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/07/16,05/07/16,07:10 PM,10:10 PM,FALSE,TRUE,05/07/16,03:10 PM,06:10 PM,FREE,BUSY
05/08/16,10:35 AM,01:35 PM,D-backs at Braves,Turner Field - Atlanta,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/08/16,05/08/16,01:35 PM,04:35 PM,FALSE,TRUE,05/08/16,09:35 AM,12:35 PM,FREE,BUSY
05/09/16,05:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/09/16,05/09/16,08:40 PM,11:40 PM,FALSE,TRUE,05/09/16,04:40 PM,07:40 PM,FREE,BUSY
05/10/16,05:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/10/16,05/10/16,08:40 PM,11:40 PM,FALSE,TRUE,05/10/16,04:40 PM,07:40 PM,FREE,BUSY
05/11/16,12:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/11/16,05/11/16,03:10 PM,06:10 PM,FALSE,TRUE,05/11/16,11:10 AM,02:10 PM,FREE,BUSY
05/12/16,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/12/16,05/13/16,09:40 PM,12:40 AM,FALSE,TRUE,05/12/16,05:40 PM,08:40 PM,FREE,BUSY
05/13/16,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/13/16,05/14/16,09:40 PM,12:40 AM,FALSE,TRUE,05/13/16,05:40 PM,08:40 PM,FREE,BUSY
05/14/16,05:10 PM,08:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/14/16,05/14/16,08:10 PM,11:10 PM,FALSE,TRUE,05/14/16,04:10 PM,07:10 PM,FREE,BUSY
05/15/16,01:10 PM,04:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/15/16,05/15/16,04:10 PM,07:10 PM,FALSE,TRUE,05/15/16,12:10 PM,03:10 PM,FREE,BUSY
05/16/16,06:40 PM,09:40 PM,Yankees at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/16/16,05/17/16,09:40 PM,12:40 AM,FALSE,TRUE,05/16/16,05:40 PM,08:40 PM,FREE,BUSY
05/17/16,06:40 PM,09:40 PM,Yankees at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/17/16,05/18/16,09:40 PM,12:40 AM,FALSE,TRUE,05/17/16,05:40 PM,08:40 PM,FREE,BUSY
05/18/16,06:40 PM,09:40 PM,Yankees at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/18/16,05/19/16,09:40 PM,12:40 AM,FALSE,TRUE,05/18/16,05:40 PM,08:40 PM,FREE,BUSY
05/20/16,05:15 PM,08:15 PM,D-backs at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/20/16,05/20/16,08:15 PM,11:15 PM,FALSE,TRUE,05/20/16,04:15 PM,07:15 PM,FREE,BUSY
05/21/16,01:05 PM,04:05 PM,D-backs at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-A- FS1 ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/21/16,05/21/16,04:05 PM,07:05 PM,FALSE,TRUE,05/21/16,12:05 PM,03:05 PM,FREE,BUSY
05/22/16,11:15 AM,02:15 PM,D-backs at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/22/16,05/22/16,02:15 PM,05:15 PM,FALSE,TRUE,05/22/16,10:15 AM,01:15 PM,FREE,BUSY
05/24/16,04:05 PM,07:05 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/24/16,05/24/16,07:05 PM,10:05 PM,FALSE,TRUE,05/24/16,03:05 PM,06:05 PM,FREE,BUSY
05/25/16,04:05 PM,07:05 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/25/16,05/25/16,07:05 PM,10:05 PM,FALSE,TRUE,05/25/16,03:05 PM,06:05 PM,FREE,BUSY
05/26/16,09:35 AM,12:35 PM,D-backs at Pirates,PNC Park - Pittsburgh,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/26/16,05/26/16,12:35 PM,03:35 PM,FALSE,TRUE,05/26/16,08:35 AM,11:35 AM,FREE,BUSY
05/27/16,06:40 PM,09:40 PM,Padres at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/27/16,05/28/16,09:40 PM,12:40 AM,FALSE,TRUE,05/27/16,05:40 PM,08:40 PM,FREE,BUSY
05/28/16,07:10 PM,10:10 PM,Padres at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/28/16,05/29/16,10:10 PM,01:10 AM,FALSE,TRUE,05/28/16,06:10 PM,09:10 PM,FREE,BUSY
05/29/16,01:10 PM,04:10 PM,Padres at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/29/16,05/29/16,04:10 PM,07:10 PM,FALSE,TRUE,05/29/16,12:10 PM,03:10 PM,FREE,BUSY
05/30/16,01:10 PM,04:10 PM,Astros at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/30/16,05/30/16,04:10 PM,07:10 PM,FALSE,TRUE,05/30/16,12:10 PM,03:10 PM,FREE,BUSY
05/31/16,12:40 PM,03:40 PM,Astros at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",05/31/16,05/31/16,03:40 PM,06:40 PM,FALSE,TRUE,05/31/16,11:40 AM,02:40 PM,FREE,BUSY
06/01/16,05:10 PM,08:10 PM,D-backs at Astros,Minute Maid Park - Houston,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/01/16,06/01/16,08:10 PM,11:10 PM,FALSE,TRUE,06/01/16,04:10 PM,07:10 PM,FREE,BUSY
06/02/16,11:10 AM,02:10 PM,D-backs at Astros,Minute Maid Park - Houston,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/02/16,06/02/16,02:10 PM,05:10 PM,FALSE,TRUE,06/02/16,10:10 AM,01:10 PM,FREE,BUSY
06/03/16,11:20 AM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/03/16,06/03/16,02:20 PM,05:20 PM,FALSE,TRUE,06/03/16,10:20 AM,01:20 PM,FREE,BUSY
06/04/16,11:20 AM,02:20 PM,D-backs at Cubs,Wrigley Field - Chicago,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/04/16,06/04/16,02:20 PM,05:20 PM,FALSE,TRUE,06/04/16,10:20 AM,01:20 PM,FREE,BUSY
06/05/16,,,D-backs at Cubs - Time TBD,Wrigley Field - Chicago,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/05/16,06/05/16,,,FALSE,TRUE,06/05/16,,,FREE,BUSY
06/06/16,06:40 PM,09:40 PM,Rays at D-backs,Chase Field - Phoenix,"Local TV: FS-A ----- Local Radio: Arizona Sports 98.7 FM- KSUN La Mejor 1400 ",06/06/16,06/07/16,09:40 PM,12:40 AM,FALSE,TRUE,06/06/16,05:40 PM,08:40 PM,FREE,BUSY
