START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:10 PM,07:10 PM,Nationals at Braves,Turner Field - Atlanta,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/06/16,04/06/16,10:10 PM,10:10 PM,FALSE,TRUE,04/06/16,06:10 PM,06:10 PM,FREE,BUSY
04/08/16,07:35 PM,07:35 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/08/16,04/08/16,10:35 PM,10:35 PM,FALSE,TRUE,04/08/16,06:35 PM,06:35 PM,FREE,BUSY
04/09/16,07:10 PM,07:10 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/09/16,04/09/16,10:10 PM,10:10 PM,FALSE,TRUE,04/09/16,06:10 PM,06:10 PM,FREE,BUSY
04/10/16,01:35 PM,01:35 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/10/16,04/10/16,04:35 PM,04:35 PM,FALSE,TRUE,04/10/16,12:35 PM,12:35 PM,FREE,BUSY
04/11/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/11/16,04/11/16,10:05 PM,10:05 PM,FALSE,TRUE,04/11/16,06:05 PM,06:05 PM,FREE,BUSY
04/12/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: FSSE ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/12/16,04/12/16,10:05 PM,10:05 PM,FALSE,TRUE,04/12/16,06:05 PM,06:05 PM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,04:05 PM,04:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: FSSE ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/14/16,04/14/16,07:05 PM,07:05 PM,FALSE,TRUE,04/14/16,03:05 PM,03:05 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park - Miami,"Local TV: FSSE ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,07:10 PM,07:10 PM,Braves at Marlins,Marlins Park - Miami,"Local TV: FS1 ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/16/16,04/16/16,10:10 PM,10:10 PM,FALSE,TRUE,04/16/16,06:10 PM,06:10 PM,FREE,BUSY
04/17/16,01:10 PM,01:10 PM,Braves at Marlins,Marlins Park - Miami,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/17/16,04/17/16,04:10 PM,04:10 PM,FALSE,TRUE,04/17/16,12:10 PM,12:10 PM,FREE,BUSY
04/19/16,07:10 PM,07:10 PM,Dodgers at Braves,Turner Field - Atlanta,"Local TV: FSSO ----- Local Radio: 680 AM/93.7 FM- WYAY 106.7- Braves Radio Network",04/19/16,04/19/16,10:10 PM,10:10 PM,FALSE,TRUE,04/19/16,06:10 PM,06:10 PM,FREE,BUSY
