START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:05 PM,07:05 PM,Twins at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/06/16,04/06/16,10:05 PM,10:05 PM,FALSE,TRUE,04/06/16,06:05 PM,06:05 PM,FREE,BUSY
04/07/16,07:05 PM,07:05 PM,Twins at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2- MLBN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/07/16,04/07/16,10:05 PM,10:05 PM,FALSE,TRUE,04/07/16,06:05 PM,06:05 PM,FREE,BUSY
04/08/16,07:05 PM,07:05 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/08/16,04/08/16,10:05 PM,10:05 PM,FALSE,TRUE,04/08/16,06:05 PM,06:05 PM,FREE,BUSY
04/09/16,07:05 PM,07:05 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/09/16,04/09/16,10:05 PM,10:05 PM,FALSE,TRUE,04/09/16,06:05 PM,06:05 PM,FREE,BUSY
04/10/16,01:35 PM,01:35 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/10/16,04/10/16,04:35 PM,04:35 PM,FALSE,TRUE,04/10/16,12:35 PM,12:35 PM,FREE,BUSY
04/11/16,02:05 PM,02:05 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/11/16,04/11/16,05:05 PM,05:05 PM,FALSE,TRUE,04/11/16,01:05 PM,01:05 PM,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: MASN- ESPN2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/13/16,04/13/16,10:10 PM,10:10 PM,FALSE,TRUE,04/13/16,06:10 PM,06:10 PM,FREE,BUSY
04/14/16,08:05 PM,08:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/14/16,04/14/16,11:05 PM,11:05 PM,FALSE,TRUE,04/14/16,07:05 PM,07:05 PM,FREE,BUSY
04/15/16,08:05 PM,08:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/15/16,04/15/16,11:05 PM,11:05 PM,FALSE,TRUE,04/15/16,07:05 PM,07:05 PM,FREE,BUSY
04/16/16,08:05 PM,08:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: MASN 2- WJZ ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/16/16,04/16/16,11:05 PM,11:05 PM,FALSE,TRUE,04/16/16,07:05 PM,07:05 PM,FREE,BUSY
04/17/16,03:05 PM,03:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/17/16,04/17/16,06:05 PM,06:05 PM,FALSE,TRUE,04/17/16,02:05 PM,02:05 PM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/21/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/21/16,04/21/16,10:05 PM,10:05 PM,FALSE,TRUE,04/21/16,06:05 PM,06:05 PM,FREE,BUSY
04/22/16,08:15 PM,08:15 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/22/16,04/22/16,11:15 PM,11:15 PM,FALSE,TRUE,04/22/16,07:15 PM,07:15 PM,FREE,BUSY
04/23/16,07:15 PM,07:15 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN- WJZ- MLBN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/23/16,04/23/16,10:15 PM,10:15 PM,FALSE,TRUE,04/23/16,06:15 PM,06:15 PM,FREE,BUSY
04/24/16,02:15 PM,02:15 PM,Orioles at Royals,Kauffman Stadium - Kansas City,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/24/16,04/24/16,05:15 PM,05:15 PM,FALSE,TRUE,04/24/16,01:15 PM,01:15 PM,FREE,BUSY
04/25/16,07:10 PM,07:10 PM,Orioles at Rays,Tropicana Field - St. Petersburg,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/25/16,04/25/16,10:10 PM,10:10 PM,FALSE,TRUE,04/25/16,06:10 PM,06:10 PM,FREE,BUSY
04/26/16,07:10 PM,07:10 PM,Orioles at Rays,Tropicana Field - St. Petersburg,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/26/16,04/26/16,10:10 PM,10:10 PM,FALSE,TRUE,04/26/16,06:10 PM,06:10 PM,FREE,BUSY
04/27/16,07:10 PM,07:10 PM,Orioles at Rays,Tropicana Field - St. Petersburg,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/27/16,04/27/16,10:10 PM,10:10 PM,FALSE,TRUE,04/27/16,06:10 PM,06:10 PM,FREE,BUSY
04/28/16,07:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN 2 ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/28/16,04/28/16,10:05 PM,10:05 PM,FALSE,TRUE,04/28/16,06:05 PM,06:05 PM,FREE,BUSY
04/29/16,07:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: MASN ----- Local Radio: 105.7 The Fan- Orioles Radio Network",04/29/16,04/29/16,10:05 PM,10:05 PM,FALSE,TRUE,04/29/16,06:05 PM,06:05 PM,FREE,BUSY
