START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,06:10 PM,06:10 PM,Red Sox at Indians,Progressive Field - Cleveland,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/06/16,04/06/16,09:10 PM,09:10 PM,FALSE,TRUE,04/06/16,05:10 PM,05:10 PM,FREE,BUSY
04/07/16,06:10 PM,06:10 PM,Red Sox at Indians,Progressive Field - Cleveland,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/07/16,04/07/16,09:10 PM,09:10 PM,FALSE,TRUE,04/07/16,05:10 PM,05:10 PM,FREE,BUSY
04/08/16,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/08/16,04/08/16,10:07 PM,10:07 PM,FALSE,TRUE,04/08/16,06:07 PM,06:07 PM,FREE,BUSY
04/09/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/09/16,04/09/16,04:07 PM,04:07 PM,FALSE,TRUE,04/09/16,12:07 PM,12:07 PM,FREE,BUSY
04/10/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/10/16,04/10/16,04:07 PM,04:07 PM,FALSE,TRUE,04/10/16,12:07 PM,12:07 PM,FREE,BUSY
04/11/16,02:05 PM,02:05 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/11/16,04/11/16,05:05 PM,05:05 PM,FALSE,TRUE,04/11/16,01:05 PM,01:05 PM,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,07:10 PM,07:10 PM,Orioles at Red Sox,Fenway Park - Boston,"Local TV: NESN- ESPN2 ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/13/16,04/13/16,10:10 PM,10:10 PM,FALSE,TRUE,04/13/16,06:10 PM,06:10 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,04:05 PM,04:05 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: NESN- FS1 ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/16/16,04/16/16,07:05 PM,07:05 PM,FALSE,TRUE,04/16/16,03:05 PM,03:05 PM,FREE,BUSY
04/17/16,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/17/16,04/17/16,04:35 PM,04:35 PM,FALSE,TRUE,04/17/16,12:35 PM,12:35 PM,FREE,BUSY
04/18/16,11:05 AM,11:05 AM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/18/16,04/18/16,02:05 PM,02:05 PM,FALSE,TRUE,04/18/16,10:05 AM,10:05 AM,FREE,BUSY
04/19/16,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/19/16,04/19/16,10:10 PM,10:10 PM,FALSE,TRUE,04/19/16,06:10 PM,06:10 PM,FREE,BUSY
04/20/16,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/20/16,04/20/16,10:10 PM,10:10 PM,FALSE,TRUE,04/20/16,06:10 PM,06:10 PM,FREE,BUSY
04/21/16,01:35 PM,01:35 PM,Rays at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/21/16,04/21/16,04:35 PM,04:35 PM,FALSE,TRUE,04/21/16,12:35 PM,12:35 PM,FREE,BUSY
04/22/16,08:10 PM,08:10 PM,Red Sox at Astros,Minute Maid Park - Houston,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/22/16,04/22/16,11:10 PM,11:10 PM,FALSE,TRUE,04/22/16,07:10 PM,07:10 PM,FREE,BUSY
04/23/16,04:05 PM,04:05 PM,Red Sox at Astros,Minute Maid Park - Houston,"Local TV: NESN- FS1 ----- Local Radio: WEEI 93.7- WCCM 1110 AM",04/23/16,04/23/16,07:05 PM,07:05 PM,FALSE,TRUE,04/23/16,03:05 PM,03:05 PM,FREE,BUSY
04/24/16,08:05 PM,08:05 PM,Red Sox at Astros,Minute Maid Park - Houston,"Local TV: ESPN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/24/16,04/24/16,11:05 PM,11:05 PM,FALSE,TRUE,04/24/16,07:05 PM,07:05 PM,FREE,BUSY
04/25/16,07:10 PM,07:10 PM,Red Sox at Braves,Turner Field - Atlanta,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/25/16,04/25/16,10:10 PM,10:10 PM,FALSE,TRUE,04/25/16,06:10 PM,06:10 PM,FREE,BUSY
04/26/16,07:10 PM,07:10 PM,Red Sox at Braves,Turner Field - Atlanta,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/26/16,04/26/16,10:10 PM,10:10 PM,FALSE,TRUE,04/26/16,06:10 PM,06:10 PM,FREE,BUSY
04/27/16,07:10 PM,07:10 PM,Braves at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/27/16,04/27/16,10:10 PM,10:10 PM,FALSE,TRUE,04/27/16,06:10 PM,06:10 PM,FREE,BUSY
04/28/16,07:10 PM,07:10 PM,Braves at Red Sox,Fenway Park - Boston,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/28/16,04/28/16,10:10 PM,10:10 PM,FALSE,TRUE,04/28/16,06:10 PM,06:10 PM,FREE,BUSY
04/29/16,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/29/16,04/29/16,10:10 PM,10:10 PM,FALSE,TRUE,04/29/16,06:10 PM,06:10 PM,FREE,BUSY
04/30/16,07:10 PM,07:10 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: NESN- MLBN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",04/30/16,04/30/16,10:10 PM,10:10 PM,FALSE,TRUE,04/30/16,06:10 PM,06:10 PM,FREE,BUSY
05/01/16,08:05 PM,08:05 PM,Yankees at Red Sox,Fenway Park - Boston,"Local TV: ESPN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/01/16,05/01/16,11:05 PM,11:05 PM,FALSE,TRUE,05/01/16,07:05 PM,07:05 PM,FREE,BUSY
05/03/16,08:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field - Chicago,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/03/16,05/03/16,11:10 PM,11:10 PM,FALSE,TRUE,05/03/16,07:10 PM,07:10 PM,FREE,BUSY
05/04/16,08:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field - Chicago,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/04/16,05/04/16,11:10 PM,11:10 PM,FALSE,TRUE,05/04/16,07:10 PM,07:10 PM,FREE,BUSY
05/05/16,08:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field - Chicago,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/05/16,05/05/16,11:10 PM,11:10 PM,FALSE,TRUE,05/05/16,07:10 PM,07:10 PM,FREE,BUSY
05/06/16,07:05 PM,07:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/06/16,05/06/16,10:05 PM,10:05 PM,FALSE,TRUE,05/06/16,06:05 PM,06:05 PM,FREE,BUSY
05/07/16,01:05 PM,01:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCCM 1110 AM",05/07/16,05/07/16,04:05 PM,04:05 PM,FALSE,TRUE,05/07/16,12:05 PM,12:05 PM,FREE,BUSY
05/08/16,08:05 PM,08:05 PM,Red Sox at Yankees,Yankee Stadium - Bronx,"Local TV: ESPN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/08/16,05/08/16,11:05 PM,11:05 PM,FALSE,TRUE,05/08/16,07:05 PM,07:05 PM,FREE,BUSY
05/09/16,07:10 PM,07:10 PM,Athletics at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/09/16,05/09/16,10:10 PM,10:10 PM,FALSE,TRUE,05/09/16,06:10 PM,06:10 PM,FREE,BUSY
05/10/16,07:10 PM,07:10 PM,Athletics at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/10/16,05/10/16,10:10 PM,10:10 PM,FALSE,TRUE,05/10/16,06:10 PM,06:10 PM,FREE,BUSY
05/11/16,07:10 PM,07:10 PM,Athletics at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/11/16,05/11/16,10:10 PM,10:10 PM,FALSE,TRUE,05/11/16,06:10 PM,06:10 PM,FREE,BUSY
05/12/16,07:10 PM,07:10 PM,Astros at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/12/16,05/12/16,10:10 PM,10:10 PM,FALSE,TRUE,05/12/16,06:10 PM,06:10 PM,FREE,BUSY
05/13/16,07:10 PM,07:10 PM,Astros at Red Sox,Fenway Park - Boston,"Local TV: NESN ----- Local Radio: WEEI 93.7- WCEC 1490 AM",05/13/16,05/13/16,10:10 PM,10:10 PM,FALSE,TRUE,05/13/16,06:10 PM,06:10 PM,FREE,BUSY
05/14/16,01:05 PM,01:05 PM,Astros at Red Sox,Fenway Park - Boston,"Local TV: NESN- FS1 ----- Local Radio: WEEI 93.7- WCCM 1110 AM",05/14/16,05/14/16,04:05 PM,04:05 PM,FALSE,TRUE,05/14/16,12:05 PM,12:05 PM,FREE,BUSY
