START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/07/16,08:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: CSN+ ----- Local Radio: 670 The Score",04/07/16,04/08/16,11:40 PM,12:40 AM,FALSE,TRUE,04/07/16,07:40 PM,08:40 PM,FREE,BUSY
04/08/16,08:40 PM,09:40 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: WGN ----- Local Radio: 670 The Score",04/08/16,04/09/16,11:40 PM,12:40 AM,FALSE,TRUE,04/08/16,07:40 PM,08:40 PM,FREE,BUSY
04/09/16,07:10 PM,08:10 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: CSN ----- Local Radio: 670 The Score",04/09/16,04/09/16,10:10 PM,11:10 PM,FALSE,TRUE,04/09/16,06:10 PM,07:10 PM,FREE,BUSY
04/10/16,03:10 PM,04:10 PM,Cubs at D-backs,Chase Field - Phoenix,"Local TV: WGN ----- Local Radio: 670 The Score",04/10/16,04/10/16,06:10 PM,07:10 PM,FALSE,TRUE,04/10/16,02:10 PM,03:10 PM,FREE,BUSY
04/11/16,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",04/11/16,04/11/16,10:05 PM,11:05 PM,FALSE,TRUE,04/11/16,06:05 PM,07:05 PM,FREE,BUSY
04/13/16,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: CSN+ ----- Local Radio: 670 The Score",04/13/16,04/13/16,10:05 PM,11:05 PM,FALSE,TRUE,04/13/16,06:05 PM,07:05 PM,FREE,BUSY
04/14/16,07:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: CSN ----- Local Radio: 670 The Score",04/14/16,04/14/16,10:05 PM,11:05 PM,FALSE,TRUE,04/14/16,06:05 PM,07:05 PM,FREE,BUSY
04/15/16,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: CSN- MLBN ----- Local Radio: 670 The Score",04/15/16,04/15/16,04:20 PM,05:20 PM,FALSE,TRUE,04/15/16,12:20 PM,01:20 PM,FREE,BUSY
04/16/16,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: CSN ----- Local Radio: 670 The Score",04/16/16,04/16/16,04:20 PM,05:20 PM,FALSE,TRUE,04/16/16,12:20 PM,01:20 PM,FREE,BUSY
04/17/16,01:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: WGN ----- Local Radio: 670 The Score",04/17/16,04/17/16,04:20 PM,05:20 PM,FALSE,TRUE,04/17/16,12:20 PM,01:20 PM,FREE,BUSY
04/18/16,07:15 PM,08:15 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: WPWR ----- Local Radio: 670 The Score",04/18/16,04/18/16,10:15 PM,11:15 PM,FALSE,TRUE,04/18/16,06:15 PM,07:15 PM,FREE,BUSY
04/19/16,07:15 PM,08:15 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN- MLBN ----- Local Radio: 670 The Score",04/19/16,04/19/16,10:15 PM,11:15 PM,FALSE,TRUE,04/19/16,06:15 PM,07:15 PM,FREE,BUSY
04/20/16,12:45 PM,01:45 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: CSN- MLBN ----- Local Radio: 670 The Score",04/20/16,04/20/16,03:45 PM,04:45 PM,FALSE,TRUE,04/20/16,11:45 AM,12:45 PM,FREE,BUSY
04/21/16,06:10 PM,07:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN ----- Local Radio: 670 The Score",04/21/16,04/21/16,09:10 PM,10:10 PM,FALSE,TRUE,04/21/16,05:10 PM,06:10 PM,FREE,BUSY
04/22/16,06:10 PM,07:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: WGN ----- Local Radio: 670 The Score",04/22/16,04/22/16,09:10 PM,10:10 PM,FALSE,TRUE,04/22/16,05:10 PM,06:10 PM,FREE,BUSY
04/23/16,06:10 PM,07:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN ----- Local Radio: 670 The Score",04/23/16,04/23/16,09:10 PM,10:10 PM,FALSE,TRUE,04/23/16,05:10 PM,06:10 PM,FREE,BUSY
04/24/16,12:10 PM,01:10 PM,Cubs at Reds,Great American Ball Park - Cincinnati,"Local TV: WGN ----- Local Radio: 670 The Score",04/24/16,04/24/16,03:10 PM,04:10 PM,FALSE,TRUE,04/24/16,11:10 AM,12:10 PM,FREE,BUSY
04/26/16,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: CSN ----- Local Radio: 670 The Score",04/26/16,04/26/16,10:05 PM,11:05 PM,FALSE,TRUE,04/26/16,06:05 PM,07:05 PM,FREE,BUSY
