START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:10 PM,07:10 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: FS-O- ESPN2 ----- Local Radio: WLW 700",04/06/16,04/06/16,10:10 PM,10:10 PM,FALSE,TRUE,04/06/16,06:10 PM,06:10 PM,FREE,BUSY
04/07/16,12:35 PM,12:35 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: FS-O ----- Local Radio: WLW 700",04/07/16,04/07/16,03:35 PM,03:35 PM,FALSE,TRUE,04/07/16,11:35 AM,11:35 AM,FREE,BUSY
04/08/16,07:10 PM,07:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: FS-O ----- Local Radio: WLW 700",04/08/16,04/08/16,10:10 PM,10:10 PM,FALSE,TRUE,04/08/16,06:10 PM,06:10 PM,FREE,BUSY
04/09/16,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: FS-O ----- Local Radio: WLW 700",04/09/16,04/09/16,04:10 PM,04:10 PM,FALSE,TRUE,04/09/16,12:10 PM,12:10 PM,FREE,BUSY
04/10/16,01:10 PM,01:10 PM,Pirates at Reds,Great American Ball Park - Cincinnati,"Local TV: FS-O ----- Local Radio: WLW 700",04/10/16,04/10/16,04:10 PM,04:10 PM,FALSE,TRUE,04/10/16,12:10 PM,12:10 PM,FREE,BUSY
04/11/16,08:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: FS-O ----- Local Radio: WLW 700",04/11/16,04/11/16,11:05 PM,11:05 PM,FALSE,TRUE,04/11/16,07:05 PM,07:05 PM,FREE,BUSY
04/13/16,08:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: FS-O ----- Local Radio: WLW 700",04/13/16,04/13/16,11:05 PM,11:05 PM,FALSE,TRUE,04/13/16,07:05 PM,07:05 PM,FREE,BUSY
04/14/16,08:05 PM,08:05 PM,Reds at Cubs,Wrigley Field - Chicago,"Local TV: FS-O ----- Local Radio: WLW 700",04/14/16,04/14/16,11:05 PM,11:05 PM,FALSE,TRUE,04/14/16,07:05 PM,07:05 PM,FREE,BUSY
04/15/16,08:15 PM,08:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-O ----- Local Radio: WLW 700",04/15/16,04/15/16,11:15 PM,11:15 PM,FALSE,TRUE,04/15/16,07:15 PM,07:15 PM,FREE,BUSY
04/16/16,02:15 PM,02:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-O ----- Local Radio: WLW 700",04/16/16,04/16/16,05:15 PM,05:15 PM,FALSE,TRUE,04/16/16,01:15 PM,01:15 PM,FREE,BUSY
04/17/16,02:15 PM,02:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-O ----- Local Radio: WLW 700",04/17/16,04/17/16,05:15 PM,05:15 PM,FALSE,TRUE,04/17/16,01:15 PM,01:15 PM,FREE,BUSY
