START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,06:10 PM,06:10 PM,Red Sox at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- Indians Radio Network",04/06/16,04/06/16,09:10 PM,09:10 PM,FALSE,TRUE,04/06/16,05:10 PM,05:10 PM,FREE,BUSY
04/07/16,06:10 PM,06:10 PM,Red Sox at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/07/16,04/07/16,09:10 PM,09:10 PM,FALSE,TRUE,04/07/16,05:10 PM,05:10 PM,FREE,BUSY
04/08/16,04:10 PM,04:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/08/16,04/08/16,07:10 PM,07:10 PM,FALSE,TRUE,04/08/16,03:10 PM,03:10 PM,FREE,BUSY
04/09/16,02:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/09/16,04/09/16,05:10 PM,05:10 PM,FALSE,TRUE,04/09/16,01:10 PM,01:10 PM,FREE,BUSY
04/10/16,02:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/10/16,04/10/16,05:10 PM,05:10 PM,FALSE,TRUE,04/10/16,01:10 PM,01:10 PM,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,07:10 PM,07:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7- Indians Radio Network",04/13/16,04/13/16,10:10 PM,10:10 PM,FALSE,TRUE,04/13/16,06:10 PM,06:10 PM,FREE,BUSY
04/14/16,01:10 PM,01:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- Indians Radio Network",04/14/16,04/14/16,04:10 PM,04:10 PM,FALSE,TRUE,04/14/16,12:10 PM,12:10 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,04:10 PM,04:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/16/16,04/16/16,07:10 PM,07:10 PM,FALSE,TRUE,04/16/16,03:10 PM,03:10 PM,FREE,BUSY
04/17/16,01:10 PM,01:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/17/16,04/17/16,04:10 PM,04:10 PM,FALSE,TRUE,04/17/16,12:10 PM,12:10 PM,FREE,BUSY
04/19/16,06:10 PM,06:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/19/16,04/19/16,09:10 PM,09:10 PM,FALSE,TRUE,04/19/16,05:10 PM,05:10 PM,FREE,BUSY
04/20/16,06:10 PM,06:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/20/16,04/20/16,09:10 PM,09:10 PM,FALSE,TRUE,04/20/16,05:10 PM,05:10 PM,FREE,BUSY
04/21/16,12:10 PM,12:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- Indians Radio Network",04/21/16,04/21/16,03:10 PM,03:10 PM,FALSE,TRUE,04/21/16,11:10 AM,11:10 AM,FREE,BUSY
04/22/16,07:10 PM,07:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/22/16,04/22/16,10:10 PM,10:10 PM,FALSE,TRUE,04/22/16,06:10 PM,06:10 PM,FREE,BUSY
04/23/16,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/23/16,04/23/16,04:10 PM,04:10 PM,FALSE,TRUE,04/23/16,12:10 PM,12:10 PM,FREE,BUSY
04/24/16,01:10 PM,01:10 PM,Indians at Tigers,Comerica Park - Detroit,"Local TV: SportsTime Ohio- MLBN ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/24/16,04/24/16,04:10 PM,04:10 PM,FALSE,TRUE,04/24/16,12:10 PM,12:10 PM,FREE,BUSY
04/25/16,08:10 PM,08:10 PM,Indians at Twins,Target Field - Minneapolis,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100- WMMS 100.7- Indians Radio Network",04/25/16,04/25/16,11:10 PM,11:10 PM,FALSE,TRUE,04/25/16,07:10 PM,07:10 PM,FREE,BUSY
