START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/06/16,04/06/16,01:00 PM,03:00 PM,FALSE,TRUE,04/06/16,09:00 AM,11:00 AM,FREE,BUSY
04/06/16,01:40 PM,03:40 PM,Rockies at D-backs,Chase Field - Phoenix,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",04/06/16,04/06/16,04:40 PM,06:40 PM,FALSE,TRUE,04/06/16,12:40 PM,02:40 PM,FREE,BUSY
04/07/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/07/16,04/07/16,01:00 PM,03:00 PM,FALSE,TRUE,04/07/16,09:00 AM,11:00 AM,FREE,BUSY
04/08/16,02:10 PM,04:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",04/08/16,04/08/16,05:10 PM,07:10 PM,FALSE,TRUE,04/08/16,01:10 PM,03:10 PM,FREE,BUSY
04/09/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/09/16,04/09/16,01:00 PM,03:00 PM,FALSE,TRUE,04/09/16,09:00 AM,11:00 AM,FREE,BUSY
04/09/16,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",04/09/16,04/09/16,09:10 PM,11:10 PM,FALSE,TRUE,04/09/16,05:10 PM,07:10 PM,FREE,BUSY
04/10/16,02:10 PM,04:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",04/10/16,04/10/16,05:10 PM,07:10 PM,FALSE,TRUE,04/10/16,01:10 PM,03:10 PM,FREE,BUSY
04/11/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/11/16,04/11/16,01:00 PM,03:00 PM,FALSE,TRUE,04/11/16,09:00 AM,11:00 AM,FREE,BUSY
04/12/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/12/16,04/12/16,01:00 PM,03:00 PM,FALSE,TRUE,04/12/16,09:00 AM,11:00 AM,FREE,BUSY
04/12/16,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",04/12/16,04/12/16,09:40 PM,11:40 PM,FALSE,TRUE,04/12/16,05:40 PM,07:40 PM,FREE,BUSY
04/13/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/13/16,04/13/16,01:00 PM,03:00 PM,FALSE,TRUE,04/13/16,09:00 AM,11:00 AM,FREE,BUSY
04/13/16,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",04/13/16,04/13/16,09:40 PM,11:40 PM,FALSE,TRUE,04/13/16,05:40 PM,07:40 PM,FREE,BUSY
04/14/16,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",04/14/16,04/14/16,04:10 PM,06:10 PM,FALSE,TRUE,04/14/16,12:10 PM,02:10 PM,FREE,BUSY
04/15/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/15/16,04/15/16,01:00 PM,03:00 PM,FALSE,TRUE,04/15/16,09:00 AM,11:00 AM,FREE,BUSY
04/15/16,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS- MLBN ----- Local Radio: KOA 850",04/15/16,04/15/16,03:20 PM,05:20 PM,FALSE,TRUE,04/15/16,11:20 AM,01:20 PM,FREE,BUSY
04/16/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/16/16,04/16/16,01:00 PM,03:00 PM,FALSE,TRUE,04/16/16,09:00 AM,11:00 AM,FREE,BUSY
04/16/16,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",04/16/16,04/16/16,03:20 PM,05:20 PM,FALSE,TRUE,04/16/16,11:20 AM,01:20 PM,FREE,BUSY
04/17/16,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",04/17/16,04/17/16,03:20 PM,05:20 PM,FALSE,TRUE,04/17/16,11:20 AM,01:20 PM,FREE,BUSY
04/18/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/18/16,04/18/16,01:00 PM,03:00 PM,FALSE,TRUE,04/18/16,09:00 AM,11:00 AM,FREE,BUSY
04/18/16,05:10 PM,07:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",04/18/16,04/18/16,08:10 PM,10:10 PM,FALSE,TRUE,04/18/16,04:10 PM,06:10 PM,FREE,BUSY
04/19/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/19/16,04/19/16,01:00 PM,03:00 PM,FALSE,TRUE,04/19/16,09:00 AM,11:00 AM,FREE,BUSY
04/19/16,05:10 PM,07:10 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850",04/19/16,04/19/16,08:10 PM,10:10 PM,FALSE,TRUE,04/19/16,04:10 PM,06:10 PM,FREE,BUSY
04/20/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/20/16,04/20/16,01:00 PM,03:00 PM,FALSE,TRUE,04/20/16,09:00 AM,11:00 AM,FREE,BUSY
04/20/16,10:35 AM,12:35 PM,Rockies at Reds,Great American Ball Park - Cincinnati,"Local Radio: KOA 850",04/20/16,04/20/16,01:35 PM,03:35 PM,FALSE,TRUE,04/20/16,09:35 AM,11:35 AM,FREE,BUSY
04/21/16,10:00 AM,12:00 PM,Coors Field Tours,Coors Field - Denver,"",04/21/16,04/21/16,01:00 PM,03:00 PM,FALSE,TRUE,04/21/16,09:00 AM,11:00 AM,FREE,BUSY
