START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,09:05 PM,10:05 PM,White Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: CSN- ESPN2 ----- Local Radio: WLS ",04/07/16,04/07/16,12:05 AM,01:05 AM,FALSE,TRUE,04/06/16,08:05 PM,09:05 PM,FREE,BUSY
04/07/16,02:35 PM,03:35 PM,White Sox at Athletics,Oakland Coliseum - Oakland,"Local TV: CSN ----- Local Radio: WLS ",04/07/16,04/07/16,05:35 PM,06:35 PM,FALSE,TRUE,04/07/16,01:35 PM,02:35 PM,FREE,BUSY
04/08/16,03:10 PM,04:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/08/16,04/08/16,06:10 PM,07:10 PM,FALSE,TRUE,04/08/16,02:10 PM,03:10 PM,FREE,BUSY
04/09/16,01:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: WGN ----- Local Radio: WLS - WRTO 1200",04/09/16,04/09/16,04:10 PM,05:10 PM,FALSE,TRUE,04/09/16,12:10 PM,01:10 PM,FREE,BUSY
04/10/16,01:10 PM,02:10 PM,Indians at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/10/16,04/10/16,04:10 PM,05:10 PM,FALSE,TRUE,04/10/16,12:10 PM,01:10 PM,FREE,BUSY
04/11/16,03:10 PM,04:10 PM,White Sox at Twins,Target Field - Minneapolis,"Local TV: CSN ----- Local Radio: WLS ",04/11/16,04/11/16,06:10 PM,07:10 PM,FALSE,TRUE,04/11/16,02:10 PM,03:10 PM,FREE,BUSY
04/13/16,07:10 PM,08:10 PM,White Sox at Twins,Target Field - Minneapolis,"Local TV: WPWR ----- Local Radio: WLS ",04/13/16,04/13/16,10:10 PM,11:10 PM,FALSE,TRUE,04/13/16,06:10 PM,07:10 PM,FREE,BUSY
04/14/16,12:10 PM,01:10 PM,White Sox at Twins,Target Field - Minneapolis,"Local TV: CSN- MLBN ----- Local Radio: WLS ",04/14/16,04/14/16,03:10 PM,04:10 PM,FALSE,TRUE,04/14/16,11:10 AM,12:10 PM,FREE,BUSY
04/15/16,06:10 PM,07:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: CSN ----- Local Radio: WLS ",04/15/16,04/15/16,09:10 PM,10:10 PM,FALSE,TRUE,04/15/16,05:10 PM,06:10 PM,FREE,BUSY
04/16/16,05:10 PM,06:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: WGN ----- Local Radio: WLS ",04/16/16,04/16/16,08:10 PM,09:10 PM,FALSE,TRUE,04/16/16,04:10 PM,05:10 PM,FREE,BUSY
04/17/16,12:10 PM,01:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: CSN ----- Local Radio: WLS ",04/17/16,04/17/16,03:10 PM,04:10 PM,FALSE,TRUE,04/17/16,11:10 AM,12:10 PM,FREE,BUSY
04/18/16,07:10 PM,08:10 PM,Angels at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/18/16,04/18/16,10:10 PM,11:10 PM,FALSE,TRUE,04/18/16,06:10 PM,07:10 PM,FREE,BUSY
04/19/16,07:10 PM,08:10 PM,Angels at White Sox,U.S. Cellular Field - Chicago,"Local TV: WPWR ----- Local Radio: WLS - WRTO 1200",04/19/16,04/19/16,10:10 PM,11:10 PM,FALSE,TRUE,04/19/16,06:10 PM,07:10 PM,FREE,BUSY
04/20/16,01:10 PM,02:10 PM,Angels at White Sox,U.S. Cellular Field - Chicago,"Local TV: WGN ----- Local Radio: WLS - WRTO 1200",04/20/16,04/20/16,04:10 PM,05:10 PM,FALSE,TRUE,04/20/16,12:10 PM,01:10 PM,FREE,BUSY
04/21/16,01:10 PM,02:10 PM,Angels at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/21/16,04/21/16,04:10 PM,05:10 PM,FALSE,TRUE,04/21/16,12:10 PM,01:10 PM,FREE,BUSY
04/22/16,07:10 PM,08:10 PM,Rangers at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/22/16,04/22/16,10:10 PM,11:10 PM,FALSE,TRUE,04/22/16,06:10 PM,07:10 PM,FREE,BUSY
04/23/16,01:10 PM,02:10 PM,Rangers at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/23/16,04/23/16,04:10 PM,05:10 PM,FALSE,TRUE,04/23/16,12:10 PM,01:10 PM,FREE,BUSY
04/24/16,01:10 PM,02:10 PM,Rangers at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",04/24/16,04/24/16,04:10 PM,05:10 PM,FALSE,TRUE,04/24/16,12:10 PM,01:10 PM,FREE,BUSY
04/25/16,06:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: CSN ----- Local Radio: WLS ",04/25/16,04/25/16,09:07 PM,10:07 PM,FALSE,TRUE,04/25/16,05:07 PM,06:07 PM,FREE,BUSY
04/26/16,06:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: WPWR ----- Local Radio: WLS ",04/26/16,04/26/16,09:07 PM,10:07 PM,FALSE,TRUE,04/26/16,05:07 PM,06:07 PM,FREE,BUSY
04/27/16,06:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: CSN ----- Local Radio: WLS ",04/27/16,04/27/16,09:07 PM,10:07 PM,FALSE,TRUE,04/27/16,05:07 PM,06:07 PM,FREE,BUSY
04/28/16,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: CSN ----- Local Radio: WLS ",04/28/16,04/28/16,09:05 PM,10:05 PM,FALSE,TRUE,04/28/16,05:05 PM,06:05 PM,FREE,BUSY
04/29/16,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: CSN ----- Local Radio: WLS ",04/29/16,04/29/16,09:05 PM,10:05 PM,FALSE,TRUE,04/29/16,05:05 PM,06:05 PM,FREE,BUSY
04/30/16,06:05 PM,07:05 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: WGN ----- Local Radio: WLS ",04/30/16,04/30/16,09:05 PM,10:05 PM,FALSE,TRUE,04/30/16,05:05 PM,06:05 PM,FREE,BUSY
05/01/16,12:35 PM,01:35 PM,White Sox at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: CSN ----- Local Radio: WLS ",05/01/16,05/01/16,03:35 PM,04:35 PM,FALSE,TRUE,05/01/16,11:35 AM,12:35 PM,FREE,BUSY
05/03/16,07:10 PM,08:10 PM,Red Sox at White Sox,U.S. Cellular Field - Chicago,"Local TV: CSN ----- Local Radio: WLS - WRTO 1200",05/03/16,05/03/16,10:10 PM,11:10 PM,FALSE,TRUE,05/03/16,06:10 PM,07:10 PM,FREE,BUSY
