START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,04:55 PM,04:55 PM,Tigers at Marlins,Marlins Park - Miami,"Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket",04/06/16,04/06/16,07:55 PM,07:55 PM,FALSE,TRUE,04/06/16,03:55 PM,03:55 PM,FREE,BUSY
04/08/16,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/08/16,04/08/16,04:10 PM,04:10 PM,FALSE,TRUE,04/08/16,12:10 PM,12:10 PM,FREE,BUSY
04/09/16,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: FS-D+- MLBN ----- Local Radio: 97.1 The Ticket",04/09/16,04/09/16,04:10 PM,04:10 PM,FALSE,TRUE,04/09/16,12:10 PM,12:10 PM,FREE,BUSY
04/10/16,08:10 PM,08:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: ESPN ----- Local Radio: 97.1 The Ticket",04/10/16,04/10/16,11:10 PM,11:10 PM,FALSE,TRUE,04/10/16,07:10 PM,07:10 PM,FREE,BUSY
04/11/16,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D- MLBN ----- Local Radio: 97.1 The Ticket",04/11/16,04/11/16,04:10 PM,04:10 PM,FALSE,TRUE,04/11/16,12:10 PM,12:10 PM,FREE,BUSY
04/12/16,01:10 PM,01:10 PM,Pirates at Tigers,Comerica Park - Detroit,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/12/16,04/12/16,04:10 PM,04:10 PM,FALSE,TRUE,04/12/16,12:10 PM,12:10 PM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D+ ----- Local Radio: 97.1 The Ticket",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,12:35 PM,12:35 PM,Tigers at Pirates,PNC Park - Pittsburgh,"Local TV: FS-D- MLBN ----- Local Radio: 97.1 The Ticket",04/14/16,04/14/16,03:35 PM,03:35 PM,FALSE,TRUE,04/14/16,11:35 AM,11:35 AM,FREE,BUSY
04/15/16,08:10 PM,08:10 PM,Tigers at Astros,Minute Maid Park - Houston,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/15/16,04/15/16,11:10 PM,11:10 PM,FALSE,TRUE,04/15/16,07:10 PM,07:10 PM,FREE,BUSY
04/16/16,07:10 PM,07:10 PM,Tigers at Astros,Minute Maid Park - Houston,"Local TV: FS-D ----- Local Radio: 97.1 The Ticket",04/16/16,04/16/16,10:10 PM,10:10 PM,FALSE,TRUE,04/16/16,06:10 PM,06:10 PM,FREE,BUSY
