START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/04/16,03:33 AM,03:33 AM,Mets at Royals,Kauffman Stadium,,04/04/16,04/04/16,06:33 AM,06:33 AM,FALSE,TRUE,04/04/16,02:33 AM,02:33 AM,FREE,BUSY
04/06/16,03:33 AM,03:33 AM,Mets at Royals,Kauffman Stadium,,04/06/16,04/06/16,06:33 AM,06:33 AM,FALSE,TRUE,04/06/16,02:33 AM,02:33 AM,FREE,BUSY
04/08/16,03:33 AM,03:33 AM,Twins at Royals,Kauffman Stadium,,04/08/16,04/08/16,06:33 AM,06:33 AM,FALSE,TRUE,04/08/16,02:33 AM,02:33 AM,FREE,BUSY
04/09/16,03:33 AM,03:33 AM,Twins at Royals,Kauffman Stadium,,04/09/16,04/09/16,06:33 AM,06:33 AM,FALSE,TRUE,04/09/16,02:33 AM,02:33 AM,FREE,BUSY
04/10/16,03:33 AM,03:33 AM,Twins at Royals,Kauffman Stadium,,04/10/16,04/10/16,06:33 AM,06:33 AM,FALSE,TRUE,04/10/16,02:33 AM,02:33 AM,FREE,BUSY
04/11/16,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/11/16,04/11/16,06:33 AM,06:33 AM,FALSE,TRUE,04/11/16,02:33 AM,02:33 AM,FREE,BUSY
04/12/16,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/12/16,04/12/16,06:33 AM,06:33 AM,FALSE,TRUE,04/12/16,02:33 AM,02:33 AM,FREE,BUSY
04/13/16,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/13/16,04/13/16,06:33 AM,06:33 AM,FALSE,TRUE,04/13/16,02:33 AM,02:33 AM,FREE,BUSY
04/14/16,03:33 AM,03:33 AM,Royals at Astros,Minute Maid Park,,04/14/16,04/14/16,06:33 AM,06:33 AM,FALSE,TRUE,04/14/16,02:33 AM,02:33 AM,FREE,BUSY
04/15/16,09:05 PM,10:05 PM,Royals at Athletics,O.co Coliseum,,04/16/16,04/16/16,12:05 AM,01:05 AM,FALSE,TRUE,04/15/16,08:05 PM,09:05 PM,FREE,BUSY
04/16/16,03:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,,04/16/16,04/16/16,06:05 PM,07:05 PM,FALSE,TRUE,04/16/16,02:05 PM,03:05 PM,FREE,BUSY
04/17/16,03:05 PM,04:05 PM,Royals at Athletics,O.co Coliseum,,04/17/16,04/17/16,06:05 PM,07:05 PM,FALSE,TRUE,04/17/16,02:05 PM,03:05 PM,FREE,BUSY
04/19/16,03:33 AM,03:33 AM,Tigers at Royals,Kauffman Stadium,,04/19/16,04/19/16,06:33 AM,06:33 AM,FALSE,TRUE,04/19/16,02:33 AM,02:33 AM,FREE,BUSY
