START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,06:10 PM,09:10 PM,Dodgers at Padres,Petco Park - San Diego,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/06/16,04/07/16,09:10 PM,12:10 AM,FALSE,TRUE,04/06/16,05:10 PM,08:10 PM,FREE,BUSY
04/07/16,01:35 PM,04:35 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/07/16,04/07/16,04:35 PM,07:35 PM,FALSE,TRUE,04/07/16,12:35 PM,03:35 PM,FREE,BUSY
04/08/16,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/08/16,04/09/16,10:15 PM,01:15 AM,FALSE,TRUE,04/08/16,06:15 PM,09:15 PM,FREE,BUSY
04/09/16,01:05 PM,04:05 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: FS1- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/09/16,04/09/16,04:05 PM,07:05 PM,FALSE,TRUE,04/09/16,12:05 PM,03:05 PM,FREE,BUSY
04/10/16,01:05 PM,04:05 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/10/16,04/10/16,04:05 PM,07:05 PM,FALSE,TRUE,04/10/16,12:05 PM,03:05 PM,FREE,BUSY
04/12/16,01:10 PM,04:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- MLBN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/12/16,04/12/16,04:10 PM,07:10 PM,FALSE,TRUE,04/12/16,12:10 PM,03:10 PM,FREE,BUSY
04/13/16,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/13/16,04/14/16,10:10 PM,01:10 AM,FALSE,TRUE,04/13/16,06:10 PM,09:10 PM,FREE,BUSY
04/14/16,07:10 PM,10:10 PM,D-backs at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/14/16,04/15/16,10:10 PM,01:10 AM,FALSE,TRUE,04/14/16,06:10 PM,09:10 PM,FREE,BUSY
04/15/16,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- MLBN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/15/16,04/16/16,10:10 PM,01:10 AM,FALSE,TRUE,04/15/16,06:10 PM,09:10 PM,FREE,BUSY
04/16/16,06:10 PM,09:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- MLBN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/16/16,04/17/16,09:10 PM,12:10 AM,FALSE,TRUE,04/16/16,05:10 PM,08:10 PM,FREE,BUSY
04/17/16,05:05 PM,08:05 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: ESPN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/17/16,04/17/16,08:05 PM,11:05 PM,FALSE,TRUE,04/17/16,04:05 PM,07:05 PM,FREE,BUSY
04/19/16,04:10 PM,07:10 PM,Dodgers at Braves,Turner Field - Atlanta,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/19/16,04/19/16,07:10 PM,10:10 PM,FALSE,TRUE,04/19/16,03:10 PM,06:10 PM,FREE,BUSY
04/20/16,04:10 PM,07:10 PM,Dodgers at Braves,Turner Field - Atlanta,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/20/16,04/20/16,07:10 PM,10:10 PM,FALSE,TRUE,04/20/16,03:10 PM,06:10 PM,FREE,BUSY
04/21/16,09:10 AM,12:10 PM,Dodgers at Braves,Turner Field - Atlanta,"Local TV: SportsNet LA- MLBN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/21/16,04/21/16,12:10 PM,03:10 PM,FALSE,TRUE,04/21/16,08:10 AM,11:10 AM,FREE,BUSY
04/22/16,05:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/22/16,04/22/16,08:40 PM,11:40 PM,FALSE,TRUE,04/22/16,04:40 PM,07:40 PM,FREE,BUSY
04/23/16,05:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/23/16,04/23/16,08:10 PM,11:10 PM,FALSE,TRUE,04/23/16,04:10 PM,07:10 PM,FREE,BUSY
04/24/16,01:10 PM,04:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/24/16,04/24/16,04:10 PM,07:10 PM,FALSE,TRUE,04/24/16,12:10 PM,03:10 PM,FREE,BUSY
04/25/16,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/25/16,04/26/16,10:10 PM,01:10 AM,FALSE,TRUE,04/25/16,06:10 PM,09:10 PM,FREE,BUSY
04/26/16,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/26/16,04/27/16,10:10 PM,01:10 AM,FALSE,TRUE,04/26/16,06:10 PM,09:10 PM,FREE,BUSY
04/27/16,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/27/16,04/28/16,10:10 PM,01:10 AM,FALSE,TRUE,04/27/16,06:10 PM,09:10 PM,FREE,BUSY
04/28/16,07:10 PM,10:10 PM,Marlins at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- MLBN- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/28/16,04/29/16,10:10 PM,01:10 AM,FALSE,TRUE,04/28/16,06:10 PM,09:10 PM,FREE,BUSY
04/29/16,07:10 PM,10:10 PM,Padres at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/29/16,04/30/16,10:10 PM,01:10 AM,FALSE,TRUE,04/29/16,06:10 PM,09:10 PM,FREE,BUSY
04/30/16,06:10 PM,09:10 PM,Padres at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",04/30/16,05/01/16,09:10 PM,12:10 AM,FALSE,TRUE,04/30/16,05:10 PM,08:10 PM,FREE,BUSY
05/01/16,01:10 PM,04:10 PM,Padres at Dodgers,Dodger Stadium - Los Angeles,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",05/01/16,05/01/16,04:10 PM,07:10 PM,FALSE,TRUE,05/01/16,12:10 PM,03:10 PM,FREE,BUSY
05/03/16,04:10 PM,07:10 PM,Dodgers at Rays,Tropicana Field - St. Petersburg,"Local TV: SportsNet LA- SNLA Spanish ----- Local Radio: 570 LA Sports- KTNQ 1020- KMPC 1540",05/03/16,05/03/16,07:10 PM,10:10 PM,FALSE,TRUE,05/03/16,03:10 PM,06:10 PM,FREE,BUSY
