START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,04:55 PM,04:55 PM,Tigers at Marlins,Marlins Park - Miami,"Local TV: FS-F ----- Local Radio: 940 AM WINZ- WAQI 710",04/06/16,04/06/16,07:55 PM,07:55 PM,FALSE,TRUE,04/06/16,03:55 PM,03:55 PM,FREE,BUSY
04/07/16,04:05 PM,04:05 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: FS-F ----- Local Radio: 940 AM WINZ- WAQI 710",04/07/16,04/07/16,07:05 PM,07:05 PM,FALSE,TRUE,04/07/16,03:05 PM,03:05 PM,FREE,BUSY
04/08/16,,,Marlins Park Tours - Time TBD,Marlins Park - Miami,"",04/08/16,04/08/16,,,FALSE,TRUE,04/08/16,,,FREE,BUSY
04/09/16,04:05 PM,04:05 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: FS-F ----- Local Radio: 940 AM WINZ- WAQI 710",04/09/16,04/09/16,07:05 PM,07:05 PM,FALSE,TRUE,04/09/16,03:05 PM,03:05 PM,FREE,BUSY
04/09/16,,,Marlins Park Tours - Time TBD,Marlins Park - Miami,"",04/09/16,04/09/16,,,FALSE,TRUE,04/09/16,,,FREE,BUSY
04/10/16,01:35 PM,01:35 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: FS-F ----- Local Radio: 940 AM WINZ- WAQI 710",04/10/16,04/10/16,04:35 PM,04:35 PM,FALSE,TRUE,04/10/16,12:35 PM,12:35 PM,FREE,BUSY
04/11/16,07:10 PM,07:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: FS-F- ESPN ----- Local Radio: 940 AM WINZ- WAQI 710",04/11/16,04/11/16,10:10 PM,10:10 PM,FALSE,TRUE,04/11/16,06:10 PM,06:10 PM,FREE,BUSY
04/11/16,,,Marlins Park Tours - Time TBD,Marlins Park - Miami,"",04/11/16,04/11/16,,,FALSE,TRUE,04/11/16,,,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: FS-F ----- Local Radio: 940 AM WINZ- WAQI 710",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,01:10 PM,01:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: FS-F- MLBN ----- Local Radio: 940 AM WINZ- WAQI 710",04/13/16,04/13/16,04:10 PM,04:10 PM,FALSE,TRUE,04/13/16,12:10 PM,12:10 PM,FREE,BUSY
