START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,12:40 PM,01:40 PM,Giants at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/06/16,04/06/16,03:40 PM,04:40 PM,FALSE,TRUE,04/06/16,11:40 AM,12:40 PM,FREE,BUSY
04/08/16,07:10 PM,08:10 PM,Astros at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/08/16,04/08/16,10:10 PM,11:10 PM,FALSE,TRUE,04/08/16,06:10 PM,07:10 PM,FREE,BUSY
04/09/16,06:10 PM,07:10 PM,Astros at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/09/16,04/09/16,09:10 PM,10:10 PM,FALSE,TRUE,04/09/16,05:10 PM,06:10 PM,FREE,BUSY
04/10/16,01:10 PM,02:10 PM,Astros at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/10/16,04/10/16,04:10 PM,05:10 PM,FALSE,TRUE,04/10/16,12:10 PM,01:10 PM,FREE,BUSY
04/11/16,03:15 PM,04:15 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FSWI- MLBN ----- Local Radio: WTMJ 620- Brewers Radio Network",04/11/16,04/11/16,06:15 PM,07:15 PM,FALSE,TRUE,04/11/16,02:15 PM,03:15 PM,FREE,BUSY
04/13/16,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/13/16,04/13/16,10:15 PM,11:15 PM,FALSE,TRUE,04/13/16,06:15 PM,07:15 PM,FREE,BUSY
04/14/16,12:45 PM,01:45 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/14/16,04/14/16,03:45 PM,04:45 PM,FALSE,TRUE,04/14/16,11:45 AM,12:45 PM,FREE,BUSY
04/15/16,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/15/16,04/15/16,09:05 PM,10:05 PM,FALSE,TRUE,04/15/16,05:05 PM,06:05 PM,FREE,BUSY
04/16/16,06:05 PM,07:05 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/16/16,04/16/16,09:05 PM,10:05 PM,FALSE,TRUE,04/16/16,05:05 PM,06:05 PM,FREE,BUSY
04/17/16,12:35 PM,01:35 PM,Brewers at Pirates,PNC Park - Pittsburgh,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/17/16,04/17/16,03:35 PM,04:35 PM,FALSE,TRUE,04/17/16,11:35 AM,12:35 PM,FREE,BUSY
04/18/16,07:10 PM,08:10 PM,Brewers at Twins,Target Field - Minneapolis,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/18/16,04/18/16,10:10 PM,11:10 PM,FALSE,TRUE,04/18/16,06:10 PM,07:10 PM,FREE,BUSY
04/19/16,12:10 PM,01:10 PM,Brewers at Twins,Target Field - Minneapolis,"Local TV: FSWI- MLBN ----- Local Radio: WTMJ 620- Brewers Radio Network",04/19/16,04/19/16,03:10 PM,04:10 PM,FALSE,TRUE,04/19/16,11:10 AM,12:10 PM,FREE,BUSY
04/20/16,07:10 PM,08:10 PM,Twins at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/20/16,04/20/16,10:10 PM,11:10 PM,FALSE,TRUE,04/20/16,06:10 PM,07:10 PM,FREE,BUSY
04/21/16,12:40 PM,01:40 PM,Twins at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/21/16,04/21/16,03:40 PM,04:40 PM,FALSE,TRUE,04/21/16,11:40 AM,12:40 PM,FREE,BUSY
04/22/16,07:10 PM,08:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/22/16,04/22/16,10:10 PM,11:10 PM,FALSE,TRUE,04/22/16,06:10 PM,07:10 PM,FREE,BUSY
04/23/16,06:10 PM,07:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/23/16,04/23/16,09:10 PM,10:10 PM,FALSE,TRUE,04/23/16,05:10 PM,06:10 PM,FREE,BUSY
04/24/16,01:10 PM,02:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/24/16,04/24/16,04:10 PM,05:10 PM,FALSE,TRUE,04/24/16,12:10 PM,01:10 PM,FREE,BUSY
04/26/16,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/26/16,04/26/16,10:05 PM,11:05 PM,FALSE,TRUE,04/26/16,06:05 PM,07:05 PM,FREE,BUSY
04/27/16,07:05 PM,08:05 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/27/16,04/27/16,10:05 PM,11:05 PM,FALSE,TRUE,04/27/16,06:05 PM,07:05 PM,FREE,BUSY
04/28/16,01:20 PM,02:20 PM,Brewers at Cubs,Wrigley Field - Chicago,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/28/16,04/28/16,04:20 PM,05:20 PM,FALSE,TRUE,04/28/16,12:20 PM,01:20 PM,FREE,BUSY
04/29/16,07:10 PM,08:10 PM,Marlins at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/29/16,04/29/16,10:10 PM,11:10 PM,FALSE,TRUE,04/29/16,06:10 PM,07:10 PM,FREE,BUSY
04/30/16,06:10 PM,07:10 PM,Marlins at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",04/30/16,04/30/16,09:10 PM,10:10 PM,FALSE,TRUE,04/30/16,05:10 PM,06:10 PM,FREE,BUSY
05/01/16,01:10 PM,02:10 PM,Marlins at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",05/01/16,05/01/16,04:10 PM,05:10 PM,FALSE,TRUE,05/01/16,12:10 PM,01:10 PM,FREE,BUSY
05/02/16,06:20 PM,07:20 PM,Angels at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",05/02/16,05/02/16,09:20 PM,10:20 PM,FALSE,TRUE,05/02/16,05:20 PM,06:20 PM,FREE,BUSY
05/03/16,07:10 PM,08:10 PM,Angels at Brewers,Miller Park - Milwaukee,"Local TV: FSWI ----- Local Radio: WTMJ 620- Brewers Radio Network",05/03/16,05/03/16,10:10 PM,11:10 PM,FALSE,TRUE,05/03/16,06:10 PM,07:10 PM,FREE,BUSY
