START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/08/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: SNY- MLBN ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/08/16,04/08/16,04:10 PM,04:10 PM,FALSE,TRUE,04/08/16,12:10 PM,12:10 PM,FREE,BUSY
04/09/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: WPIX- MLBN ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/09/16,04/09/16,10:10 PM,10:10 PM,FALSE,TRUE,04/09/16,06:10 PM,06:10 PM,FREE,BUSY
04/10/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/10/16,04/10/16,04:10 PM,04:10 PM,FALSE,TRUE,04/10/16,12:10 PM,12:10 PM,FREE,BUSY
04/11/16,07:10 PM,07:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: SNY- ESPN ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/11/16,04/11/16,10:10 PM,10:10 PM,FALSE,TRUE,04/11/16,06:10 PM,06:10 PM,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,01:10 PM,01:10 PM,Marlins at Mets,Citi Field - Flushing,"Local TV: SNY- MLBN ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/13/16,04/13/16,04:10 PM,04:10 PM,FALSE,TRUE,04/13/16,12:10 PM,12:10 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,04:10 PM,04:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: WPIX ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/16/16,04/16/16,07:10 PM,07:10 PM,FALSE,TRUE,04/16/16,03:10 PM,03:10 PM,FREE,BUSY
04/17/16,01:10 PM,01:10 PM,Mets at Indians,Progressive Field - Cleveland,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/17/16,04/17/16,04:10 PM,04:10 PM,FALSE,TRUE,04/17/16,12:10 PM,12:10 PM,FREE,BUSY
04/18/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/18/16,04/18/16,10:05 PM,10:05 PM,FALSE,TRUE,04/18/16,06:05 PM,06:05 PM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/22/16,07:35 PM,07:35 PM,Mets at Braves,Turner Field - Atlanta,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/22/16,04/22/16,10:35 PM,10:35 PM,FALSE,TRUE,04/22/16,06:35 PM,06:35 PM,FREE,BUSY
04/23/16,07:10 PM,07:10 PM,Mets at Braves,Turner Field - Atlanta,"Local TV: WPIX ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/23/16,04/23/16,10:10 PM,10:10 PM,FALSE,TRUE,04/23/16,06:10 PM,06:10 PM,FREE,BUSY
04/24/16,01:35 PM,01:35 PM,Mets at Braves,Turner Field - Atlanta,"Local TV: WPIX ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/24/16,04/24/16,04:35 PM,04:35 PM,FALSE,TRUE,04/24/16,12:35 PM,12:35 PM,FREE,BUSY
04/25/16,07:10 PM,07:10 PM,Reds at Mets,Citi Field - Flushing,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/25/16,04/25/16,10:10 PM,10:10 PM,FALSE,TRUE,04/25/16,06:10 PM,06:10 PM,FREE,BUSY
04/26/16,07:10 PM,07:10 PM,Reds at Mets,Citi Field - Flushing,"Local TV: SNY- MLBN ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/26/16,04/26/16,10:10 PM,10:10 PM,FALSE,TRUE,04/26/16,06:10 PM,06:10 PM,FREE,BUSY
04/27/16,07:10 PM,07:10 PM,Reds at Mets,Citi Field - Flushing,"Local TV: SNY ----- Local Radio: 710 WOR- ESPN Deportes 1050",04/27/16,04/27/16,10:10 PM,10:10 PM,FALSE,TRUE,04/27/16,06:10 PM,06:10 PM,FREE,BUSY
