START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:05 PM,07:05 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/06/16,04/06/16,10:05 PM,10:05 PM,FALSE,TRUE,04/06/16,06:05 PM,06:05 PM,FREE,BUSY
04/07/16,04:05 PM,04:05 PM,Astros at Yankees,Yankee Stadium - Bronx,"Local TV: YES- MLBN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/07/16,04/07/16,07:05 PM,07:05 PM,FALSE,TRUE,04/07/16,03:05 PM,03:05 PM,FREE,BUSY
04/08/16,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/08/16,04/08/16,04:10 PM,04:10 PM,FALSE,TRUE,04/08/16,12:10 PM,12:10 PM,FREE,BUSY
04/09/16,01:10 PM,01:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: YES- MLBN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/09/16,04/09/16,04:10 PM,04:10 PM,FALSE,TRUE,04/09/16,12:10 PM,12:10 PM,FREE,BUSY
04/10/16,08:10 PM,08:10 PM,Yankees at Tigers,Comerica Park - Detroit,"Local TV: ESPN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/10/16,04/10/16,11:10 PM,11:10 PM,FALSE,TRUE,04/10/16,07:10 PM,07:10 PM,FREE,BUSY
04/12/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/12/16,04/12/16,10:07 PM,10:07 PM,FALSE,TRUE,04/12/16,06:07 PM,06:07 PM,FREE,BUSY
04/13/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/13/16,04/13/16,10:07 PM,10:07 PM,FALSE,TRUE,04/13/16,06:07 PM,06:07 PM,FREE,BUSY
04/14/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: YES- MLBN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/14/16,04/14/16,10:07 PM,10:07 PM,FALSE,TRUE,04/14/16,06:07 PM,06:07 PM,FREE,BUSY
04/15/16,07:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/15/16,04/15/16,10:05 PM,10:05 PM,FALSE,TRUE,04/15/16,06:05 PM,06:05 PM,FREE,BUSY
04/16/16,01:05 PM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: YES- MLBN ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/16/16,04/16/16,04:05 PM,04:05 PM,FALSE,TRUE,04/16/16,12:05 PM,12:05 PM,FREE,BUSY
04/17/16,01:05 PM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/17/16,04/17/16,04:05 PM,04:05 PM,FALSE,TRUE,04/17/16,12:05 PM,12:05 PM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/21/16,07:05 PM,07:05 PM,Athletics at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/21/16,04/21/16,10:05 PM,10:05 PM,FALSE,TRUE,04/21/16,06:05 PM,06:05 PM,FREE,BUSY
04/22/16,07:05 PM,07:05 PM,Rays at Yankees,Yankee Stadium - Bronx,"Local TV: YES ----- Local Radio: WFAN 660/101.9 FM- WADO 1280",04/22/16,04/22/16,10:05 PM,10:05 PM,FALSE,TRUE,04/22/16,06:05 PM,06:05 PM,FREE,BUSY
