START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/06/16,04/06/16,01:30 PM,01:30 PM,FALSE,TRUE,04/06/16,09:30 AM,09:30 AM,FREE,BUSY
04/06/16,07:10 PM,07:10 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN- ESPN2 ----- Local Radio: 94 WIP",04/06/16,04/06/16,10:10 PM,10:10 PM,FALSE,TRUE,04/06/16,06:10 PM,06:10 PM,FREE,BUSY
04/07/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/07/16,04/07/16,01:30 PM,01:30 PM,FALSE,TRUE,04/07/16,09:30 AM,09:30 AM,FREE,BUSY
04/07/16,12:35 PM,12:35 PM,Phillies at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN ----- Local Radio: 94 WIP",04/07/16,04/07/16,03:35 PM,03:35 PM,FALSE,TRUE,04/07/16,11:35 AM,11:35 AM,FREE,BUSY
04/08/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/08/16,04/08/16,01:30 PM,01:30 PM,FALSE,TRUE,04/08/16,09:30 AM,09:30 AM,FREE,BUSY
04/08/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN- MLBN ----- Local Radio: 94 WIP",04/08/16,04/08/16,04:10 PM,04:10 PM,FALSE,TRUE,04/08/16,12:10 PM,12:10 PM,FREE,BUSY
04/09/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/09/16,04/09/16,01:30 PM,01:30 PM,FALSE,TRUE,04/09/16,09:30 AM,09:30 AM,FREE,BUSY
04/09/16,07:10 PM,07:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: CSN- MLBN ----- Local Radio: 94 WIP",04/09/16,04/09/16,10:10 PM,10:10 PM,FALSE,TRUE,04/09/16,06:10 PM,06:10 PM,FREE,BUSY
04/10/16,01:10 PM,01:10 PM,Phillies at Mets,Citi Field - Flushing,"Local TV: TCN ----- Local Radio: 94 WIP",04/10/16,04/10/16,04:10 PM,04:10 PM,FALSE,TRUE,04/10/16,12:10 PM,12:10 PM,FREE,BUSY
04/11/16,03:05 PM,03:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: NBC 10 ----- Local Radio: 94 WIP",04/11/16,04/11/16,06:05 PM,06:05 PM,FALSE,TRUE,04/11/16,02:05 PM,02:05 PM,FREE,BUSY
04/12/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/12/16,04/12/16,01:30 PM,01:30 PM,FALSE,TRUE,04/12/16,09:30 AM,09:30 AM,FREE,BUSY
04/12/16,07:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN ----- Local Radio: 94 WIP",04/12/16,04/12/16,10:05 PM,10:05 PM,FALSE,TRUE,04/12/16,06:05 PM,06:05 PM,FREE,BUSY
04/13/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/13/16,04/13/16,01:30 PM,01:30 PM,FALSE,TRUE,04/13/16,09:30 AM,09:30 AM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: TCN ----- Local Radio: 94 WIP",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,01:05 PM,01:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/14/16,04/14/16,04:05 PM,04:05 PM,FALSE,TRUE,04/14/16,12:05 PM,12:05 PM,FREE,BUSY
04/15/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/15/16,04/15/16,01:30 PM,01:30 PM,FALSE,TRUE,04/15/16,09:30 AM,09:30 AM,FREE,BUSY
04/15/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/15/16,04/15/16,10:05 PM,10:05 PM,FALSE,TRUE,04/15/16,06:05 PM,06:05 PM,FREE,BUSY
04/16/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/16/16,04/16/16,01:30 PM,01:30 PM,FALSE,TRUE,04/16/16,09:30 AM,09:30 AM,FREE,BUSY
04/16/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/16/16,04/16/16,10:05 PM,10:05 PM,FALSE,TRUE,04/16/16,06:05 PM,06:05 PM,FREE,BUSY
04/17/16,01:35 PM,01:35 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/17/16,04/17/16,04:35 PM,04:35 PM,FALSE,TRUE,04/17/16,12:35 PM,12:35 PM,FREE,BUSY
04/18/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/18/16,04/18/16,01:30 PM,01:30 PM,FALSE,TRUE,04/18/16,09:30 AM,09:30 AM,FREE,BUSY
04/18/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/18/16,04/18/16,10:05 PM,10:05 PM,FALSE,TRUE,04/18/16,06:05 PM,06:05 PM,FREE,BUSY
04/19/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/19/16,04/19/16,01:30 PM,01:30 PM,FALSE,TRUE,04/19/16,09:30 AM,09:30 AM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/20/16,04/20/16,01:30 PM,01:30 PM,FALSE,TRUE,04/20/16,09:30 AM,09:30 AM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Mets at Phillies,Citizens Bank Park - Philadelphia,"Local TV: CSN ----- Local Radio: 94 WIP",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/21/16,10:30 AM,10:30 AM,Citizens Bank Park Tour,Citizens Bank Park - Philadelphia,"",04/21/16,04/21/16,01:30 PM,01:30 PM,FALSE,TRUE,04/21/16,09:30 AM,09:30 AM,FREE,BUSY
04/22/16,08:10 PM,08:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: TCN ----- Local Radio: 94 WIP",04/22/16,04/22/16,11:10 PM,11:10 PM,FALSE,TRUE,04/22/16,07:10 PM,07:10 PM,FREE,BUSY
04/23/16,07:10 PM,07:10 PM,Phillies at Brewers,Miller Park - Milwaukee,"Local TV: CSN ----- Local Radio: 94 WIP",04/23/16,04/23/16,10:10 PM,10:10 PM,FALSE,TRUE,04/23/16,06:10 PM,06:10 PM,FREE,BUSY
