START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,06:10 PM,09:10 PM,Dodgers at Padres,Petco Park - San Diego,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: XPRS 1090- XEMO 860",04/06/16,04/07/16,09:10 PM,12:10 AM,FALSE,TRUE,04/06/16,05:10 PM,08:10 PM,FREE,BUSY
04/06/16,,,Petco Park Tour - Time TBD,Petco Park - San Diego,"",04/06/16,04/06/16,,,FALSE,TRUE,04/06/16,,,FREE,BUSY
04/07/16,,,Petco Park Tour - Time TBD,Petco Park - San Diego,"",04/07/16,04/07/16,,,FALSE,TRUE,04/07/16,,,FREE,BUSY
04/08/16,01:10 PM,04:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: XPRS 1090- XEMO 860",04/08/16,04/08/16,04:10 PM,07:10 PM,FALSE,TRUE,04/08/16,12:10 PM,03:10 PM,FREE,BUSY
04/09/16,05:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: XPRS 1090- XEMO 860",04/09/16,04/09/16,08:10 PM,11:10 PM,FALSE,TRUE,04/09/16,04:10 PM,07:10 PM,FREE,BUSY
04/10/16,01:10 PM,04:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: FSSD- FOX Deportes San Diego ----- Local Radio: XPRS 1090- XEMO 860",04/10/16,04/10/16,04:10 PM,07:10 PM,FALSE,TRUE,04/10/16,12:10 PM,03:10 PM,FREE,BUSY
04/10/16,,,Petco Park Tour - Time TBD,Petco Park - San Diego,"",04/10/16,04/10/16,,,FALSE,TRUE,04/10/16,,,FREE,BUSY
04/11/16,12:05 PM,03:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: FSSD ----- Local Radio: XPRS 1090- XEMO 860",04/11/16,04/11/16,03:05 PM,06:05 PM,FALSE,TRUE,04/11/16,11:05 AM,02:05 PM,FREE,BUSY
04/11/16,,,Petco Park Tour - Time TBD,Petco Park - San Diego,"",04/11/16,04/11/16,,,FALSE,TRUE,04/11/16,,,FREE,BUSY
04/12/16,04:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: FSSD ----- Local Radio: XPRS 1090- XEMO 860",04/12/16,04/12/16,07:05 PM,10:05 PM,FALSE,TRUE,04/12/16,03:05 PM,06:05 PM,FREE,BUSY
04/12/16,,,Petco Park Tour - Time TBD,Petco Park - San Diego,"",04/12/16,04/12/16,,,FALSE,TRUE,04/12/16,,,FREE,BUSY
04/13/16,04:05 PM,07:05 PM,Padres at Phillies,Citizens Bank Park - Philadelphia,"Local TV: FSSD ----- Local Radio: XPRS 1090- XEMO 860",04/13/16,04/13/16,07:05 PM,10:05 PM,FALSE,TRUE,04/13/16,03:05 PM,06:05 PM,FREE,BUSY
