START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,11:05 AM,02:05 PM,Mariners at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: ROOT SPORTS- MLBN ----- Local Radio: 710 ESPN",04/06/16,04/06/16,02:05 PM,05:05 PM,FALSE,TRUE,04/06/16,10:05 AM,01:05 PM,FREE,BUSY
04/06/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/06/16,04/06/16,,,FALSE,TRUE,04/06/16,,,FREE,BUSY
04/07/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/07/16,04/07/16,,,FALSE,TRUE,04/07/16,,,FREE,BUSY
04/08/16,07:10 PM,10:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/08/16,04/09/16,10:10 PM,01:10 AM,FALSE,TRUE,04/08/16,06:10 PM,09:10 PM,FREE,BUSY
04/08/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/08/16,04/08/16,,,FALSE,TRUE,04/08/16,,,FREE,BUSY
04/09/16,06:10 PM,09:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/09/16,04/10/16,09:10 PM,12:10 AM,FALSE,TRUE,04/09/16,05:10 PM,08:10 PM,FREE,BUSY
04/09/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/09/16,04/09/16,,,FALSE,TRUE,04/09/16,,,FREE,BUSY
04/10/16,01:10 PM,04:10 PM,Athletics at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/10/16,04/10/16,04:10 PM,07:10 PM,FALSE,TRUE,04/10/16,12:10 PM,03:10 PM,FREE,BUSY
04/10/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/10/16,04/10/16,,,FALSE,TRUE,04/10/16,,,FREE,BUSY
04/11/16,07:10 PM,10:10 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/11/16,04/12/16,10:10 PM,01:10 AM,FALSE,TRUE,04/11/16,06:10 PM,09:10 PM,FREE,BUSY
04/11/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/11/16,04/11/16,,,FALSE,TRUE,04/11/16,,,FREE,BUSY
04/12/16,07:10 PM,10:10 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/12/16,04/13/16,10:10 PM,01:10 AM,FALSE,TRUE,04/12/16,06:10 PM,09:10 PM,FREE,BUSY
04/12/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/12/16,04/12/16,,,FALSE,TRUE,04/12/16,,,FREE,BUSY
04/13/16,12:40 PM,03:40 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/13/16,04/13/16,03:40 PM,06:40 PM,FALSE,TRUE,04/13/16,11:40 AM,02:40 PM,FREE,BUSY
04/13/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/13/16,04/13/16,,,FALSE,TRUE,04/13/16,,,FREE,BUSY
04/14/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/14/16,04/14/16,,,FALSE,TRUE,04/14/16,,,FREE,BUSY
04/15/16,04:05 PM,07:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/15/16,04/15/16,07:05 PM,10:05 PM,FALSE,TRUE,04/15/16,03:05 PM,06:05 PM,FREE,BUSY
04/15/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/15/16,04/15/16,,,FALSE,TRUE,04/15/16,,,FREE,BUSY
04/16/16,10:05 AM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: ROOT SPORTS- MLBN ----- Local Radio: 710 ESPN",04/16/16,04/16/16,01:05 PM,04:05 PM,FALSE,TRUE,04/16/16,09:05 AM,12:05 PM,FREE,BUSY
04/16/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/16/16,04/16/16,,,FALSE,TRUE,04/16/16,,,FREE,BUSY
04/17/16,10:05 AM,01:05 PM,Mariners at Yankees,Yankee Stadium - Bronx,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/17/16,04/17/16,01:05 PM,04:05 PM,FALSE,TRUE,04/17/16,09:05 AM,12:05 PM,FREE,BUSY
04/17/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/17/16,04/17/16,,,FALSE,TRUE,04/17/16,,,FREE,BUSY
04/18/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/18/16,04/18/16,,,FALSE,TRUE,04/18/16,,,FREE,BUSY
04/19/16,03:10 PM,06:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/19/16,04/19/16,06:10 PM,09:10 PM,FALSE,TRUE,04/19/16,02:10 PM,05:10 PM,FREE,BUSY
04/19/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/19/16,04/19/16,,,FALSE,TRUE,04/19/16,,,FREE,BUSY
04/20/16,03:10 PM,06:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/20/16,04/20/16,06:10 PM,09:10 PM,FALSE,TRUE,04/20/16,02:10 PM,05:10 PM,FREE,BUSY
04/20/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/20/16,04/20/16,,,FALSE,TRUE,04/20/16,,,FREE,BUSY
04/21/16,09:10 AM,12:10 PM,Mariners at Indians,Progressive Field - Cleveland,"Local TV: ROOT SPORTS ----- Local Radio: 710 ESPN",04/21/16,04/21/16,12:10 PM,03:10 PM,FALSE,TRUE,04/21/16,08:10 AM,11:10 AM,FREE,BUSY
04/21/16,,,Safeco Field Stadium Tours - Time TBD,Safeco Field - Seattle,"",04/21/16,04/21/16,,,FALSE,TRUE,04/21/16,,,FREE,BUSY
