START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,10:40 AM,01:40 PM,Giants at Brewers,Miller Park - Milwaukee,"Local TV: CSN-BA ----- Local Radio: KNBR 680",04/06/16,04/06/16,01:40 PM,04:40 PM,FALSE,TRUE,04/06/16,09:40 AM,12:40 PM,FREE,BUSY
04/07/16,01:35 PM,04:35 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/07/16,04/07/16,04:35 PM,07:35 PM,FALSE,TRUE,04/07/16,12:35 PM,03:35 PM,FREE,BUSY
04/08/16,07:15 PM,10:15 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KTRB 860",04/08/16,04/09/16,10:15 PM,01:15 AM,FALSE,TRUE,04/08/16,06:15 PM,09:15 PM,FREE,BUSY
04/09/16,01:05 PM,04:05 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA- FS1 ----- Local Radio: KNBR 680- KTRB 860",04/09/16,04/09/16,04:05 PM,07:05 PM,FALSE,TRUE,04/09/16,12:05 PM,03:05 PM,FREE,BUSY
04/10/16,01:05 PM,04:05 PM,Dodgers at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/10/16,04/10/16,04:05 PM,07:05 PM,FALSE,TRUE,04/10/16,12:05 PM,03:05 PM,FREE,BUSY
04/12/16,05:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: CSN-BA ----- Local Radio: KNBR 680",04/12/16,04/12/16,08:40 PM,11:40 PM,FALSE,TRUE,04/12/16,04:40 PM,07:40 PM,FREE,BUSY
04/13/16,05:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: CSN-BA ----- Local Radio: KNBR 680",04/13/16,04/13/16,08:40 PM,11:40 PM,FALSE,TRUE,04/13/16,04:40 PM,07:40 PM,FREE,BUSY
04/14/16,12:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: CSN-BA ----- Local Radio: KNBR 680",04/14/16,04/14/16,03:10 PM,06:10 PM,FALSE,TRUE,04/14/16,11:10 AM,02:10 PM,FREE,BUSY
04/15/16,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: NBC Bay Area- MLBN ----- Local Radio: KNBR 680- KTRB 860",04/15/16,04/16/16,10:10 PM,01:10 AM,FALSE,TRUE,04/15/16,06:10 PM,09:10 PM,FREE,BUSY
04/16/16,06:10 PM,09:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: CSN-BA- MLBN ----- Local Radio: KNBR 680- KTRB 860",04/16/16,04/17/16,09:10 PM,12:10 AM,FALSE,TRUE,04/16/16,05:10 PM,08:10 PM,FREE,BUSY
04/17/16,05:05 PM,08:05 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"Local TV: ESPN ----- Local Radio: KNBR 680- KTRB 860",04/17/16,04/17/16,08:05 PM,11:05 PM,FALSE,TRUE,04/17/16,04:05 PM,07:05 PM,FREE,BUSY
04/18/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/18/16,04/19/16,10:15 PM,01:15 AM,FALSE,TRUE,04/18/16,06:15 PM,09:15 PM,FREE,BUSY
04/19/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/19/16,04/20/16,10:15 PM,01:15 AM,FALSE,TRUE,04/19/16,06:15 PM,09:15 PM,FREE,BUSY
04/20/16,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/20/16,04/21/16,10:15 PM,01:15 AM,FALSE,TRUE,04/20/16,06:15 PM,09:15 PM,FREE,BUSY
04/21/16,12:45 PM,03:45 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/21/16,04/21/16,03:45 PM,06:45 PM,FALSE,TRUE,04/21/16,11:45 AM,02:45 PM,FREE,BUSY
04/22/16,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KTRB 860",04/22/16,04/23/16,10:15 PM,01:15 AM,FALSE,TRUE,04/22/16,06:15 PM,09:15 PM,FREE,BUSY
04/23/16,06:05 PM,09:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA- MLBN ----- Local Radio: KNBR 680- KTRB 860",04/23/16,04/24/16,09:05 PM,12:05 AM,FALSE,TRUE,04/23/16,05:05 PM,08:05 PM,FREE,BUSY
04/24/16,01:05 PM,04:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/24/16,04/24/16,04:05 PM,07:05 PM,FALSE,TRUE,04/24/16,12:05 PM,03:05 PM,FREE,BUSY
04/25/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/25/16,04/26/16,10:15 PM,01:15 AM,FALSE,TRUE,04/25/16,06:15 PM,09:15 PM,FREE,BUSY
04/26/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",04/26/16,04/27/16,10:15 PM,01:15 AM,FALSE,TRUE,04/26/16,06:15 PM,09:15 PM,FREE,BUSY
04/27/16,12:45 PM,03:45 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA- MLBN ----- Local Radio: KNBR 680- KTRB 860",04/27/16,04/27/16,03:45 PM,06:45 PM,FALSE,TRUE,04/27/16,11:45 AM,02:45 PM,FREE,BUSY
04/29/16,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"Local TV: CSN-BA ----- Local Radio: KNBR 680",04/29/16,04/29/16,07:10 PM,10:10 PM,FALSE,TRUE,04/29/16,03:10 PM,06:10 PM,FREE,BUSY
04/30/16,01:05 PM,04:05 PM,Giants at Mets,Citi Field - Flushing,"Local TV: CSN-BA- FS1 ----- Local Radio: KNBR 680",04/30/16,04/30/16,04:05 PM,07:05 PM,FALSE,TRUE,04/30/16,12:05 PM,03:05 PM,FREE,BUSY
05/01/16,10:10 AM,01:10 PM,Giants at Mets,Citi Field - Flushing,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/01/16,05/01/16,01:10 PM,04:10 PM,FALSE,TRUE,05/01/16,09:10 AM,12:10 PM,FREE,BUSY
05/02/16,04:10 PM,07:10 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/02/16,05/02/16,07:10 PM,10:10 PM,FALSE,TRUE,05/02/16,03:10 PM,06:10 PM,FREE,BUSY
05/03/16,04:10 PM,07:10 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/03/16,05/03/16,07:10 PM,10:10 PM,FALSE,TRUE,05/03/16,03:10 PM,06:10 PM,FREE,BUSY
05/04/16,09:35 AM,12:35 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/04/16,05/04/16,12:35 PM,03:35 PM,FALSE,TRUE,05/04/16,08:35 AM,11:35 AM,FREE,BUSY
05/05/16,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/05/16,05/06/16,10:15 PM,01:15 AM,FALSE,TRUE,05/05/16,06:15 PM,09:15 PM,FREE,BUSY
05/06/16,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/06/16,05/07/16,10:15 PM,01:15 AM,FALSE,TRUE,05/06/16,06:15 PM,09:15 PM,FREE,BUSY
05/07/16,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/07/16,05/07/16,04:05 PM,07:05 PM,FALSE,TRUE,05/07/16,12:05 PM,03:05 PM,FREE,BUSY
05/08/16,01:05 PM,04:05 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/08/16,05/08/16,04:05 PM,07:05 PM,FALSE,TRUE,05/08/16,12:05 PM,03:05 PM,FREE,BUSY
05/09/16,07:15 PM,10:15 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/09/16,05/10/16,10:15 PM,01:15 AM,FALSE,TRUE,05/09/16,06:15 PM,09:15 PM,FREE,BUSY
05/10/16,07:15 PM,10:15 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/10/16,05/11/16,10:15 PM,01:15 AM,FALSE,TRUE,05/10/16,06:15 PM,09:15 PM,FREE,BUSY
05/11/16,12:45 PM,03:45 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/11/16,05/11/16,03:45 PM,06:45 PM,FALSE,TRUE,05/11/16,11:45 AM,02:45 PM,FREE,BUSY
05/12/16,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/12/16,05/13/16,09:40 PM,12:40 AM,FALSE,TRUE,05/12/16,05:40 PM,08:40 PM,FREE,BUSY
05/13/16,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/13/16,05/14/16,09:40 PM,12:40 AM,FALSE,TRUE,05/13/16,05:40 PM,08:40 PM,FREE,BUSY
05/14/16,05:10 PM,08:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680",05/14/16,05/14/16,08:10 PM,11:10 PM,FALSE,TRUE,05/14/16,04:10 PM,07:10 PM,FREE,BUSY
05/15/16,01:10 PM,04:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/15/16,05/15/16,04:10 PM,07:10 PM,FALSE,TRUE,05/15/16,12:10 PM,03:10 PM,FREE,BUSY
05/17/16,07:10 PM,10:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/17/16,05/18/16,10:10 PM,01:10 AM,FALSE,TRUE,05/17/16,06:10 PM,09:10 PM,FREE,BUSY
05/18/16,07:10 PM,10:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/18/16,05/19/16,10:10 PM,01:10 AM,FALSE,TRUE,05/18/16,06:10 PM,09:10 PM,FREE,BUSY
05/19/16,06:10 PM,09:10 PM,Giants at Padres,Petco Park - San Diego,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/19/16,05/20/16,09:10 PM,12:10 AM,FALSE,TRUE,05/19/16,05:10 PM,08:10 PM,FREE,BUSY
05/20/16,07:15 PM,10:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KTRB 860",05/20/16,05/21/16,10:15 PM,01:15 AM,FALSE,TRUE,05/20/16,06:15 PM,09:15 PM,FREE,BUSY
05/21/16,04:15 PM,07:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: FOX ----- Local Radio: KNBR 680- KTRB 860",05/21/16,05/21/16,07:15 PM,10:15 PM,FALSE,TRUE,05/21/16,03:15 PM,06:15 PM,FREE,BUSY
05/22/16,05:05 PM,08:05 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: ESPN ----- Local Radio: KNBR 680- KTRB 860",05/22/16,05/22/16,08:05 PM,11:05 PM,FALSE,TRUE,05/22/16,04:05 PM,07:05 PM,FREE,BUSY
05/23/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/23/16,05/24/16,10:15 PM,01:15 AM,FALSE,TRUE,05/23/16,06:15 PM,09:15 PM,FREE,BUSY
05/24/16,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/24/16,05/25/16,10:15 PM,01:15 AM,FALSE,TRUE,05/24/16,06:15 PM,09:15 PM,FREE,BUSY
05/25/16,12:45 PM,03:45 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: CSN-BA ----- Local Radio: KNBR 680- KTRB 860",05/25/16,05/25/16,03:45 PM,06:45 PM,FALSE,TRUE,05/25/16,11:45 AM,02:45 PM,FREE,BUSY
05/27/16,05:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680",05/27/16,05/27/16,08:40 PM,11:40 PM,FALSE,TRUE,05/27/16,04:40 PM,07:40 PM,FREE,BUSY
05/28/16,01:10 PM,04:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/28/16,05/28/16,04:10 PM,07:10 PM,FALSE,TRUE,05/28/16,12:10 PM,03:10 PM,FREE,BUSY
05/29/16,01:10 PM,04:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/29/16,05/29/16,04:10 PM,07:10 PM,FALSE,TRUE,05/29/16,12:10 PM,03:10 PM,FREE,BUSY
05/30/16,10:10 AM,01:10 PM,Giants at Braves,Turner Field - Atlanta,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/30/16,05/30/16,01:10 PM,04:10 PM,FALSE,TRUE,05/30/16,09:10 AM,12:10 PM,FREE,BUSY
05/31/16,04:10 PM,07:10 PM,Giants at Braves,Turner Field - Atlanta,"Local TV: CSN-BA ----- Local Radio: KNBR 680",05/31/16,05/31/16,07:10 PM,10:10 PM,FALSE,TRUE,05/31/16,03:10 PM,06:10 PM,FREE,BUSY
06/01/16,04:10 PM,07:10 PM,Giants at Braves,Turner Field - Atlanta,"Local TV: CSN-BA ----- Local Radio: KNBR 680",06/01/16,06/01/16,07:10 PM,10:10 PM,FALSE,TRUE,06/01/16,03:10 PM,06:10 PM,FREE,BUSY
06/02/16,09:10 AM,12:10 PM,Giants at Braves,Turner Field - Atlanta,"Local TV: CSN-BA ----- Local Radio: KNBR 680",06/02/16,06/02/16,12:10 PM,03:10 PM,FALSE,TRUE,06/02/16,08:10 AM,11:10 AM,FREE,BUSY
