START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,06:05 PM,07:05 PM,Cardinals at Pirates,PNC Park - Pittsburgh,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/06/16,04/06/16,09:05 PM,10:05 PM,FALSE,TRUE,04/06/16,05:05 PM,06:05 PM,FREE,BUSY
04/08/16,06:35 PM,07:35 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/08/16,04/08/16,09:35 PM,10:35 PM,FALSE,TRUE,04/08/16,05:35 PM,06:35 PM,FREE,BUSY
04/09/16,06:10 PM,07:10 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/09/16,04/09/16,09:10 PM,10:10 PM,FALSE,TRUE,04/09/16,05:10 PM,06:10 PM,FREE,BUSY
04/10/16,12:35 PM,01:35 PM,Cardinals at Braves,Turner Field - Atlanta,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/10/16,04/10/16,03:35 PM,04:35 PM,FALSE,TRUE,04/10/16,11:35 AM,12:35 PM,FREE,BUSY
04/11/16,03:15 PM,04:15 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M- MLBN ----- Local Radio: KMOX 1120- CRN",04/11/16,04/11/16,06:15 PM,07:15 PM,FALSE,TRUE,04/11/16,02:15 PM,03:15 PM,FREE,BUSY
04/13/16,07:15 PM,08:15 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/13/16,04/13/16,10:15 PM,11:15 PM,FALSE,TRUE,04/13/16,06:15 PM,07:15 PM,FREE,BUSY
04/14/16,12:45 PM,01:45 PM,Brewers at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/14/16,04/14/16,03:45 PM,04:45 PM,FALSE,TRUE,04/14/16,11:45 AM,12:45 PM,FREE,BUSY
04/15/16,07:15 PM,08:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/15/16,04/15/16,10:15 PM,11:15 PM,FALSE,TRUE,04/15/16,06:15 PM,07:15 PM,FREE,BUSY
04/16/16,01:15 PM,02:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/16/16,04/16/16,04:15 PM,05:15 PM,FALSE,TRUE,04/16/16,12:15 PM,01:15 PM,FREE,BUSY
04/17/16,01:15 PM,02:15 PM,Reds at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/17/16,04/17/16,04:15 PM,05:15 PM,FALSE,TRUE,04/17/16,12:15 PM,01:15 PM,FREE,BUSY
04/18/16,07:15 PM,08:15 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M ----- Local Radio: KMOX 1120- CRN",04/18/16,04/18/16,10:15 PM,11:15 PM,FALSE,TRUE,04/18/16,06:15 PM,07:15 PM,FREE,BUSY
04/19/16,07:15 PM,08:15 PM,Cubs at Cardinals,Busch Stadium - St. Louis,"Local TV: FS-M- MLBN ----- Local Radio: KMOX 1120- CRN",04/19/16,04/19/16,10:15 PM,11:15 PM,FALSE,TRUE,04/19/16,06:15 PM,07:15 PM,FREE,BUSY
