START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM",04/06/16,04/06/16,04:10 PM,04:10 PM,FALSE,TRUE,04/06/16,12:10 PM,12:10 PM,FREE,BUSY
04/08/16,07:05 PM,07:05 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/08/16,04/08/16,10:05 PM,10:05 PM,FALSE,TRUE,04/08/16,06:05 PM,06:05 PM,FREE,BUSY
04/09/16,07:05 PM,07:05 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/09/16,04/09/16,10:05 PM,10:05 PM,FALSE,TRUE,04/09/16,06:05 PM,06:05 PM,FREE,BUSY
04/10/16,01:35 PM,01:35 PM,Rays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WAMA 1550",04/10/16,04/10/16,04:35 PM,04:35 PM,FALSE,TRUE,04/10/16,12:35 PM,12:35 PM,FREE,BUSY
04/12/16,07:10 PM,07:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/12/16,04/12/16,10:10 PM,10:10 PM,FALSE,TRUE,04/12/16,06:10 PM,06:10 PM,FREE,BUSY
04/13/16,07:10 PM,07:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/13/16,04/13/16,10:10 PM,10:10 PM,FALSE,TRUE,04/13/16,06:10 PM,06:10 PM,FREE,BUSY
04/14/16,01:10 PM,01:10 PM,Indians at Rays,Tropicana Field - St. Petersburg,"Local Radio: WDAE 620 AM /95.3 FM",04/14/16,04/14/16,04:10 PM,04:10 PM,FALSE,TRUE,04/14/16,12:10 PM,12:10 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,06:10 PM,06:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/16/16,04/16/16,09:10 PM,09:10 PM,FALSE,TRUE,04/16/16,05:10 PM,05:10 PM,FREE,BUSY
04/17/16,01:10 PM,01:10 PM,White Sox at Rays,Tropicana Field - St. Petersburg,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WAMA 1550",04/17/16,04/17/16,04:10 PM,04:10 PM,FALSE,TRUE,04/17/16,12:10 PM,12:10 PM,FREE,BUSY
04/19/16,07:10 PM,07:10 PM,Rays at Red Sox,Fenway Park - Boston,"Local TV: Fox  Sports Sun ----- Local Radio: WDAE 620 AM /95.3 FM- WGES 680",04/19/16,04/19/16,10:10 PM,10:10 PM,FALSE,TRUE,04/19/16,06:10 PM,06:10 PM,FREE,BUSY
