START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,01:05 PM,02:05 PM,Mariners at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW- MLBN ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/06/16,04/06/16,04:05 PM,05:05 PM,FALSE,TRUE,04/06/16,12:05 PM,01:05 PM,FREE,BUSY
04/07/16,09:05 PM,10:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FS1 ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/08/16,04/08/16,12:05 AM,01:05 AM,FALSE,TRUE,04/07/16,08:05 PM,09:05 PM,FREE,BUSY
04/08/16,09:05 PM,10:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/09/16,04/09/16,12:05 AM,01:05 AM,FALSE,TRUE,04/08/16,08:05 PM,09:05 PM,FREE,BUSY
04/09/16,08:05 PM,09:05 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FSSW- MLBN ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/09/16,04/10/16,11:05 PM,12:05 AM,FALSE,TRUE,04/09/16,07:05 PM,08:05 PM,FREE,BUSY
04/10/16,02:35 PM,03:35 PM,Rangers at Angels,Angel Stadium of Anaheim - Anaheim,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/10/16,04/10/16,05:35 PM,06:35 PM,FALSE,TRUE,04/10/16,01:35 PM,02:35 PM,FREE,BUSY
04/11/16,09:10 PM,10:10 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/12/16,04/12/16,12:10 AM,01:10 AM,FALSE,TRUE,04/11/16,08:10 PM,09:10 PM,FREE,BUSY
04/12/16,09:10 PM,10:10 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/13/16,04/13/16,12:10 AM,01:10 AM,FALSE,TRUE,04/12/16,08:10 PM,09:10 PM,FREE,BUSY
04/13/16,02:40 PM,03:40 PM,Rangers at Mariners,Safeco Field - Seattle,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/13/16,04/13/16,05:40 PM,06:40 PM,FALSE,TRUE,04/13/16,01:40 PM,02:40 PM,FREE,BUSY
04/14/16,07:05 PM,08:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/14/16,04/14/16,10:05 PM,11:05 PM,FALSE,TRUE,04/14/16,06:05 PM,07:05 PM,FREE,BUSY
04/15/16,07:05 PM,08:05 PM,Orioles at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: FSSW ----- Local Radio: 105.3 The Fan- 1540am ESPN Deportes",04/15/16,04/15/16,10:05 PM,11:05 PM,FALSE,TRUE,04/15/16,06:05 PM,07:05 PM,FREE,BUSY
