START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",04/06/16,04/06/16,04:10 PM,04:10 PM,FALSE,TRUE,04/06/16,12:10 PM,12:10 PM,FREE,BUSY
04/08/16,07:07 PM,07:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- MLBN ----- Local Radio: SN590",04/08/16,04/08/16,10:07 PM,10:07 PM,FALSE,TRUE,04/08/16,06:07 PM,06:07 PM,FREE,BUSY
04/09/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",04/09/16,04/09/16,04:07 PM,04:07 PM,FALSE,TRUE,04/09/16,12:07 PM,12:07 PM,FREE,BUSY
04/10/16,01:07 PM,01:07 PM,Red Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET- MLBN ----- Local Radio: SN590",04/10/16,04/10/16,04:07 PM,04:07 PM,FALSE,TRUE,04/10/16,12:07 PM,12:07 PM,FREE,BUSY
04/12/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",04/12/16,04/12/16,10:07 PM,10:07 PM,FALSE,TRUE,04/12/16,06:07 PM,06:07 PM,FREE,BUSY
04/13/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",04/13/16,04/13/16,10:07 PM,10:07 PM,FALSE,TRUE,04/13/16,06:07 PM,06:07 PM,FREE,BUSY
04/14/16,07:07 PM,07:07 PM,Yankees at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1- MLBN ----- Local Radio: SN590",04/14/16,04/14/16,10:07 PM,10:07 PM,FALSE,TRUE,04/14/16,06:07 PM,06:07 PM,FREE,BUSY
04/15/16,07:10 PM,07:10 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET-1 ----- Local Radio: SN590",04/15/16,04/15/16,10:10 PM,10:10 PM,FALSE,TRUE,04/15/16,06:10 PM,06:10 PM,FREE,BUSY
04/16/16,04:05 PM,04:05 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET- FS1 ----- Local Radio: SN590",04/16/16,04/16/16,07:05 PM,07:05 PM,FALSE,TRUE,04/16/16,03:05 PM,03:05 PM,FREE,BUSY
04/17/16,01:35 PM,01:35 PM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET ----- Local Radio: SN590",04/17/16,04/17/16,04:35 PM,04:35 PM,FALSE,TRUE,04/17/16,12:35 PM,12:35 PM,FREE,BUSY
04/18/16,11:05 AM,11:05 AM,Blue Jays at Red Sox,Fenway Park - Boston,"Local TV: SNET- MLBN ----- Local Radio: SN590",04/18/16,04/18/16,02:05 PM,02:05 PM,FALSE,TRUE,04/18/16,10:05 AM,10:05 AM,FREE,BUSY
04/19/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET-1 ----- Local Radio: SN590",04/19/16,04/19/16,10:05 PM,10:05 PM,FALSE,TRUE,04/19/16,06:05 PM,06:05 PM,FREE,BUSY
04/20/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET-1 ----- Local Radio: SN590",04/20/16,04/20/16,10:05 PM,10:05 PM,FALSE,TRUE,04/20/16,06:05 PM,06:05 PM,FREE,BUSY
04/21/16,07:05 PM,07:05 PM,Blue Jays at Orioles,Oriole Park at Camden Yards - Baltimore,"Local TV: SNET-1 ----- Local Radio: SN590",04/21/16,04/21/16,10:05 PM,10:05 PM,FALSE,TRUE,04/21/16,06:05 PM,06:05 PM,FREE,BUSY
04/22/16,07:07 PM,07:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",04/22/16,04/22/16,10:07 PM,10:07 PM,FALSE,TRUE,04/22/16,06:07 PM,06:07 PM,FREE,BUSY
04/23/16,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",04/23/16,04/23/16,04:07 PM,04:07 PM,FALSE,TRUE,04/23/16,12:07 PM,12:07 PM,FREE,BUSY
04/24/16,01:07 PM,01:07 PM,Athletics at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",04/24/16,04/24/16,04:07 PM,04:07 PM,FALSE,TRUE,04/24/16,12:07 PM,12:07 PM,FREE,BUSY
04/25/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",04/25/16,04/25/16,10:07 PM,10:07 PM,FALSE,TRUE,04/25/16,06:07 PM,06:07 PM,FREE,BUSY
04/26/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",04/26/16,04/26/16,10:07 PM,10:07 PM,FALSE,TRUE,04/26/16,06:07 PM,06:07 PM,FREE,BUSY
04/27/16,07:07 PM,07:07 PM,White Sox at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",04/27/16,04/27/16,10:07 PM,10:07 PM,FALSE,TRUE,04/27/16,06:07 PM,06:07 PM,FREE,BUSY
04/29/16,07:10 PM,07:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET-1 ----- Local Radio: SN590",04/29/16,04/29/16,10:10 PM,10:10 PM,FALSE,TRUE,04/29/16,06:10 PM,06:10 PM,FREE,BUSY
04/30/16,06:10 PM,06:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",04/30/16,04/30/16,09:10 PM,09:10 PM,FALSE,TRUE,04/30/16,05:10 PM,05:10 PM,FREE,BUSY
05/01/16,01:10 PM,01:10 PM,Blue Jays at Rays,Tropicana Field - St. Petersburg,"Local TV: SNET ----- Local Radio: SN590",05/01/16,05/01/16,04:10 PM,04:10 PM,FALSE,TRUE,05/01/16,12:10 PM,12:10 PM,FREE,BUSY
05/02/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/02/16,05/02/16,10:07 PM,10:07 PM,FALSE,TRUE,05/02/16,06:07 PM,06:07 PM,FREE,BUSY
05/03/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/03/16,05/03/16,10:07 PM,10:07 PM,FALSE,TRUE,05/03/16,06:07 PM,06:07 PM,FREE,BUSY
05/04/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/04/16,05/04/16,10:07 PM,10:07 PM,FALSE,TRUE,05/04/16,06:07 PM,06:07 PM,FREE,BUSY
05/05/16,07:07 PM,07:07 PM,Rangers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/05/16,05/05/16,10:07 PM,10:07 PM,FALSE,TRUE,05/05/16,06:07 PM,06:07 PM,FREE,BUSY
05/06/16,07:07 PM,07:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET-1 ----- Local Radio: SN590",05/06/16,05/06/16,10:07 PM,10:07 PM,FALSE,TRUE,05/06/16,06:07 PM,06:07 PM,FREE,BUSY
05/07/16,01:07 PM,01:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",05/07/16,05/07/16,04:07 PM,04:07 PM,FALSE,TRUE,05/07/16,12:07 PM,12:07 PM,FREE,BUSY
05/08/16,01:07 PM,01:07 PM,Dodgers at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",05/08/16,05/08/16,04:07 PM,04:07 PM,FALSE,TRUE,05/08/16,12:07 PM,12:07 PM,FREE,BUSY
05/09/16,10:15 PM,10:15 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: SNET-1 ----- Local Radio: SN590",05/10/16,05/10/16,01:15 AM,01:15 AM,FALSE,TRUE,05/09/16,09:15 PM,09:15 PM,FREE,BUSY
05/10/16,10:15 PM,10:15 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: SNET-1 ----- Local Radio: SN590",05/11/16,05/11/16,01:15 AM,01:15 AM,FALSE,TRUE,05/10/16,09:15 PM,09:15 PM,FREE,BUSY
05/11/16,03:45 PM,03:45 PM,Blue Jays at Giants,AT&T Park - San Francisco,"Local TV: SNET ----- Local Radio: SN590",05/11/16,05/11/16,06:45 PM,06:45 PM,FALSE,TRUE,05/11/16,02:45 PM,02:45 PM,FREE,BUSY
05/13/16,08:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: SNET ----- Local Radio: SN590",05/13/16,05/13/16,11:05 PM,11:05 PM,FALSE,TRUE,05/13/16,07:05 PM,07:05 PM,FREE,BUSY
05/14/16,08:05 PM,08:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: SNET ----- Local Radio: SN590",05/14/16,05/14/16,11:05 PM,11:05 PM,FALSE,TRUE,05/14/16,07:05 PM,07:05 PM,FREE,BUSY
05/15/16,03:05 PM,03:05 PM,Blue Jays at Rangers,Globe Life Park in Arlington - Arlington,"Local TV: SNET ----- Local Radio: SN590",05/15/16,05/15/16,06:05 PM,06:05 PM,FALSE,TRUE,05/15/16,02:05 PM,02:05 PM,FREE,BUSY
05/16/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",05/16/16,05/16/16,10:07 PM,10:07 PM,FALSE,TRUE,05/16/16,06:07 PM,06:07 PM,FREE,BUSY
05/17/16,07:07 PM,07:07 PM,Rays at Blue Jays,Rogers Centre - Toronto,"Local TV: SNET ----- Local Radio: SN590",05/17/16,05/17/16,10:07 PM,10:07 PM,FALSE,TRUE,05/17/16,06:07 PM,06:07 PM,FREE,BUSY
