START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/06/16,07:10 PM,07:10 PM,Nationals at Braves,Turner Field - Atlanta,"Local TV: MASN",04/06/16,04/06/16,10:10 PM,10:10 PM,FALSE,TRUE,04/06/16,06:10 PM,06:10 PM,FREE,BUSY
04/07/16,04:05 PM,04:05 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: MASN- WUSA 9",04/07/16,04/07/16,07:05 PM,07:05 PM,FALSE,TRUE,04/07/16,03:05 PM,03:05 PM,FREE,BUSY
04/09/16,04:05 PM,04:05 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: MASN",04/09/16,04/09/16,07:05 PM,07:05 PM,FALSE,TRUE,04/09/16,03:05 PM,03:05 PM,FREE,BUSY
04/10/16,01:35 PM,01:35 PM,Marlins at Nationals,Nationals Park - Washington,"Local TV: MASN 2",04/10/16,04/10/16,04:35 PM,04:35 PM,FALSE,TRUE,04/10/16,12:35 PM,12:35 PM,FREE,BUSY
04/11/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN 2",04/11/16,04/11/16,10:05 PM,10:05 PM,FALSE,TRUE,04/11/16,06:05 PM,06:05 PM,FREE,BUSY
04/12/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN 2",04/12/16,04/12/16,10:05 PM,10:05 PM,FALSE,TRUE,04/12/16,06:05 PM,06:05 PM,FREE,BUSY
04/13/16,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN 2",04/13/16,04/13/16,10:05 PM,10:05 PM,FALSE,TRUE,04/13/16,06:05 PM,06:05 PM,FREE,BUSY
04/14/16,04:05 PM,04:05 PM,Braves at Nationals,Nationals Park - Washington,"Local TV: MASN",04/14/16,04/14/16,07:05 PM,07:05 PM,FALSE,TRUE,04/14/16,03:05 PM,03:05 PM,FREE,BUSY
04/15/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: MASN",04/15/16,04/15/16,10:05 PM,10:05 PM,FALSE,TRUE,04/15/16,06:05 PM,06:05 PM,FREE,BUSY
04/16/16,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park - Philadelphia,"Local TV: MASN",04/16/16,04/16/16,10:05 PM,10:05 PM,FALSE,TRUE,04/16/16,06:05 PM,06:05 PM,FREE,BUSY
